ABTOG N020.07.18.420 E100.07.18.360
ABTOK N006.18.18.000 E102.17.44.100
ADBUD N017.20.21.550 E102.36.50.430
ADGIS N016.41.55.270 E098.32.31.580
ADLAL N009.18.10.000 E099.31.06.460
ADLUS N019.06.10.490 E099.13.19.890
ADMEL N012.30.09.670 E101.11.34.850
ADMOX N019.19.10.730 E097.54.43.500
ADNAR N019.43.27.890 E100.01.56.290
ADNEP N008.03.43.500 E101.03.18.200
ADNES N019.50.52.390 E099.57.47.650
ADNOL N017.26.44.780 E102.56.07.850
ADORN N018.25.13.470 E099.13.02.740
ADPEN N019.06.08.780 E097.59.37.250
ADPIP N018.39.46.400 E101.05.54.670
AGEDO N013.24.19.400 E102.21.38.600
AGGER N016.09.40.730 E102.39.27.780
AGIRO N015.51.06.480 E103.51.10.850
AKATO N013.37.15.530 E099.10.19.190
AKTEN N017.21.12.770 E102.51.19.300
AKTIK N017.27.31.990 E099.40.59.980
AKVOK N008.13.06.880 E099.10.18.040
AKVUG N009.03.49.180 E099.22.19.270
ALBAR N008.32.27.640 E100.10.43.050
ALBOS N014.44.41.700 E101.01.41.900
ALDES N017.23.47.700 E103.02.08.550
ALEMI N012.36.25.550 E101.25.59.920
ALUMO N010.45.53.890 E101.51.22.860
ALWEZ N008.41.47.770 E099.43.59.730
AMPIO N006.46.25.710 E100.58.48.330
ANBOK N018.36.34.600 E101.12.47.600
ANDAX N009.04.41.110 E098.35.45.190
ANDET N011.03.49.090 E099.41.23.060
ANFIL N008.13.44.550 E098.35.42.070
ANGEL N006.37.09.090 E101.32.06.620
ANGET N019.03.53.800 E098.42.22.250
ANKID N015.40.48.670 E103.30.57.400
ANKOS N013.52.59.650 E101.27.41.570
ANNOP N017.13.36.420 E102.56.08.100
ANOBO N011.03.23.000 E102.14.41.610
ANPAN N008.51.15.590 E097.37.20.450
ANPUB N007.51.40.880 E097.52.16.380
ANPUS N016.57.59.700 E102.46.51.150
ANREN N013.52.12.480 E102.18.37.950
ANUGU N019.12.40.760 E100.28.00.880
AOFFY N018.31.05.280 E099.19.01.110
APOBI N009.01.47.080 E100.28.13.760
APRIL N011.00.06.700 E099.43.06.700
APUSA N010.00.57.070 E100.20.06.660
ARARE N015.12.59.330 E104.37.34.680
ARMOO N018.48.12.270 E099.05.43.870
ARMUS N013.22.59.790 E100.19.19.760
ARNAN N009.52.36.630 E098.35.01.150
AROKA N014.11.22.160 E100.39.51.890
ARTIE N015.06.18.010 E102.21.14.780
ASAVI N018.23.25.510 E099.29.57.880
ASEKU N012.03.05.650 E100.39.05.230
ASUBI N018.34.49.750 E100.41.36.010
ATKER N016.13.22.290 E104.00.27.100
ATMOB N017.11.07.020 E102.33.49.070
ATNES N009.20.27.550 E100.04.57.390
ATNIG N017.18.00.220 E101.48.19.990
ATNOD N015.56.08.670 E103.31.24.040
ATPAT N017.02.13.610 E099.41.32.840
ATRIL N015.29.18.560 E100.18.02.550
ATVUT N010.38.01.650 E102.22.58.000
BAIPU N018.21.51.340 E098.57.42.680
BAMBO N015.18.03.890 E105.06.01.570
BAMBU N013.17.53.370 E100.40.34.380
BAMEE N017.38.09.590 E100.12.43.430
BANLY N007.52.42.030 E098.04.07.670
BANPU N006.57.25.740 E100.35.20.840
BARBY N017.09.56.960 E102.46.56.220
BARCE N017.22.44.720 E101.12.18.800
BAROK N014.22.18.300 E100.11.30.610
BARON N008.08.08.940 E098.33.27.390
BARTO N018.30.35.350 E099.42.46.650
BASHO N006.43.32.720 E101.39.21.790
BAVOR N009.17.41.420 E099.24.14.480
BAXUS N013.33.24.280 E100.26.19.080
BD033 N013.58.18.850 E101.06.50.570
BD101 N014.08.47.530 E100.44.09.610
BD102 N014.03.37.580 E100.46.46.320
BD103 N014.08.09.710 E100.38.17.540
BD104 N014.04.23.310 E100.41.41.240
BD105 N013.59.59.090 E100.39.12.920
BD106 N013.55.34.870 E100.36.44.640
BD107 N013.52.56.320 E100.35.15.720
BD108 N014.08.41.160 E100.44.20.790
BD109 N014.08.03.310 E100.38.28.780
BD110 N014.03.26.040 E100.46.56.690
BD111 N014.04.35.380 E100.41.47.720
BD112 N014.07.18.700 E100.29.13.670
BD113 N014.13.04.180 E100.26.24.430
BD114 N014.24.07.420 E100.36.13.730
BD115 N014.28.18.120 E101.03.19.470
BD116 N013.45.02.470 E100.15.14.670
BD117 N013.19.19.830 E100.19.43.110
BD118 N013.12.54.900 E100.19.41.020
BD119 N013.24.19.020 E100.33.42.080
BD120 N013.21.03.970 E100.51.57.430
BD177 N013.51.07.600 E100.29.02.450
BD188 N013.51.43.930 E100.34.35.120
BD199 N013.51.46.320 E100.34.51.410
BD201 N013.50.25.660 E100.28.55.880
BD202 N013.46.50.220 E100.25.03.030
BD203 N013.38.14.770 E100.25.51.670
BD204 N013.40.09.080 E100.57.55.500
BD205 N013.54.05.080 E101.15.49.640
BD206 N013.54.39.590 E100.00.50.960
BD207 N014.09.04.220 E100.18.31.770
BD208 N014.32.34.870 E100.21.58.820
BD209 N014.38.57.060 E100.42.51.470
BD263 N014.21.42.600 E100.41.06.600
BEATS N013.21.51.180 E101.01.12.460
BEBAR N008.11.47.770 E099.55.32.780
BEDAB N015.27.24.340 E103.16.12.840
BEDEN N008.50.53.290 E099.05.28.920
BEERA N017.24.13.040 E103.57.55.370
BEGNA N016.18.20.390 E103.39.38.950
BEGOL N017.15.38.050 E102.46.36.320
BEKDU N016.38.34.880 E098.53.03.270
BEKOD N016.21.17.200 E099.46.36.400
BELMI N008.02.57.620 E099.14.40.220
BENJA N007.52.07.390 E099.01.25.620
BENSA N010.26.31.000 E102.26.29.500
BENSY N008.45.31.410 E099.50.57.740
BENVI N019.27.06.520 E099.57.41.020
BEPSI N015.55.58.220 E103.45.56.130
BERLU N013.13.50.410 E101.56.20.490
BETNO N015.05.53.500 E098.12.31.200
BEVLA N009.22.06.230 E099.12.06.120
BIGDI N017.39.08.160 E102.40.29.650
BIGGY N017.56.40.380 E099.31.53.260
BILEY N007.53.36.000 E099.10.56.310
BIMON N015.53.54.780 E103.38.37.930
BINLA N007.03.57.260 E100.34.31.750
BITEN N008.26.58.570 E099.20.28.830
BIXAG N017.30.44.100 E102.47.59.490
BLUES N014.01.05.070 E100.22.57.500
BLUVY N015.09.06.930 E102.27.21.370
BOANA N014.56.48.980 E102.31.23.390
BODUR N015.48.52.900 E103.21.27.210
BOKAK N012.57.36.300 E102.29.47.300
BOKIB N019.04.33.600 E098.22.25.200
BOMAS N017.23.04.800 E098.05.49.100
BONVO N013.44.10.470 E099.46.06.720
BOODU N006.51.17.610 E100.48.07.490
BOPNU N017.58.26.000 E103.00.52.000
BORNO N016.20.57.210 E099.41.38.880
BOTMU N017.33.59.490 E102.57.27.110
BOVGO N017.07.39.610 E101.49.35.150
BOWLY N016.48.42.000 E099.45.42.000
BOYUN N008.42.08.370 E099.43.31.300
BRENT N014.07.57.260 E100.35.21.110
BROWN N013.51.46.390 E100.19.23.860
BS101 N013.47.04.500 E100.57.50.600
BS102 N013.41.28.080 E101.06.02.840
BS103 N013.19.09.980 E100.59.48.370
BS104 N013.56.50.270 E100.49.11.950
BS105 N014.18.13.510 E100.54.46.310
BS106 N014.27.25.680 E100.57.10.580
BS107 N014.22.18.620 E100.39.09.500
BS108 N014.03.57.630 E100.41.52.580
BS117 N014.05.32.890 E100.31.27.630
BS118 N014.07.10.870 E100.20.41.580
BS401 N013.33.51.290 E100.48.45.370
BS402 N013.42.30.150 E100.39.23.080
BS403 N013.32.02.020 E100.55.42.150
BS404 N013.55.24.520 E100.42.47.930
BS405 N013.25.04.960 E100.53.48.040
BS406 N014.06.26.650 E100.45.43.480
BS407 N013.59.21.040 E100.55.45.030
BS408 N014.13.54.950 E100.44.53.560
BS488 N013.34.20.540 E100.42.31.340
BS497 N013.35.33.140 E100.44.05.910
BS499 N013.33.28.060 E100.43.33.120
BS501 N013.54.49.860 E100.54.30.270
BS502 N013.57.44.320 E100.43.24.900
BS503 N013.50.02.280 E100.53.11.480
BS504 N013.59.33.390 E100.36.27.830
BS505 N013.48.13.240 E101.00.08.220
BS506 N014.04.21.710 E100.37.43.570
BS507 N013.53.00.980 E101.01.27.190
BS508 N014.15.01.030 E100.40.31.770
BS510 N014.20.05.560 E100.20.20.840
BS512 N014.34.36.530 E100.40.57.870
BS588 N013.48.09.230 E100.46.09.070
BS599 N013.47.26.200 E100.47.13.330
BS901 N013.30.39.630 E100.47.52.930
BS902 N013.31.00.740 E100.53.51.070
BS903 N013.28.47.510 E100.42.14.540
BS904 N013.16.08.080 E100.45.10.750
BS905 N013.14.54.790 E100.40.45.310
BS907 N013.31.14.420 E100.40.03.930
BS908 N013.25.34.360 E100.30.22.740
BS909 N013.32.40.090 E100.34.16.990
BS910 N013.41.36.080 E100.34.31.080
BS911 N013.49.22.540 E100.34.43.380
BS912 N013.46.05.330 E100.42.42.850
BS914 N014.19.08.000 E100.51.18.420
BS915 N013.31.13.980 E101.12.33.290
BU036 N012.28.44.640 E101.03.14.180
BUGDU N017.09.33.140 E102.58.49.310
BUNDY N018.34.20.190 E099.20.15.590
BUNMA N018.05.43.960 E099.46.05.700
BURSO N007.47.41.110 E099.04.45.630
BUTRA N015.25.05.800 E105.35.45.900
BUXEL N011.43.41.960 E099.45.40.350
BUZKE N008.35.59.670 E099.51.59.330
CARAT N016.46.19.180 E102.47.04.180
CAROY N014.52.00.640 E102.22.20.230
CC101 N018.32.25.810 E099.02.42.920
CC102 N018.32.25.810 E098.52.49.500
CC103 N018.29.07.710 E098.57.46.210
CC104 N018.34.08.880 E098.57.46.210
CC105 N018.39.10.050 E098.57.46.210
CC106 N018.44.11.220 E098.57.46.210
CEDIA N016.06.36.250 E102.34.05.740
CENLO N008.32.27.270 E100.12.39.920
CHANG N012.49.01.690 E100.07.36.050
CHARY N008.14.56.100 E100.01.38.500
CHETA N015.21.04.490 E104.39.01.930
CHIKA N008.21.50.770 E099.55.34.390
CHUCA N017.13.43.410 E104.35.18.320
CIDER N008.14.09.190 E098.32.53.460
CIEGO N014.47.38.170 E102.16.16.720
CM101 N018.39.21.740 E099.13.06.160
CM201 N018.59.35.910 E099.10.43.170
CM202 N018.46.11.110 E099.05.24.240
CM301 N018.39.37.150 E099.22.40.380
CM302 N018.31.54.700 E099.29.11.030
CM401 N018.28.04.300 E099.23.19.850
CM402 N018.28.31.720 E099.13.03.530
CM601 N018.16.48.490 E098.53.09.290
CM602 N018.19.01.020 E099.01.40.160
CM701 N018.57.54.630 E098.57.48.210
CM702 N018.57.53.520 E099.04.52.540
CM703 N019.05.24.590 E099.04.54.020
CM704 N019.05.25.710 E098.57.49.370
CM705 N019.05.26.640 E098.49.54.010
CM706 N019.03.05.090 E098.50.17.660
