;- Followings are fixes outside Bangkok FIR
ANBOK N018.36.34.600 E101.12.47.600
BOMPA N014.20.00.000 E107.24.00.000
BUTRA N015.25.05.800 E105.35.45.900
DONGI N017.40.53.000 E106.35.43.000
IDOTA N018.41.36.000 E105.08.22.000
KAMSU N018.15.13.000 E106.05.36.000
LAVAN N014.05.49.000 E105.41.36.000
LAVOS N020.26.05.000 E104.23.50.000
LEKOB N014.07.48.000 E105.31.12.000
NALAO N019.19.46.000 E103.54.18.000
NOKET N022.02.54.000 E101.15.18.000
OKENA N016.16.08.190 E104.25.32.750
TANNA N015.54.12.000 E107.39.32.000
TORED N016.27.49.000 E106.40.32.000
YAKUA N017.44.14.790 E101.30.51.650
