;- Below are custom airports (not from AIRAC data)
BEOC .       N013.32.31.635 E100.19.41.170 D ;- Best Ocean
KL15 123.700 N014.06.44.820 E100.56.49.560 D ;- BAC Airfield
VTBC .       N012.36.00.000 E102.07.00.001 A ;- Chanthaburi
VTBG .       N014.01.00.001 E099.31.59.999 A ;- Kanchanaburi
VTBJ .       N013.09.00.000 E100.04.00.001 A ;- Phetchaburi
VTCB 122.300 N019.30.00.000 E100.17.06.014 D ;- Chiang Kham
VTCM .       N018.40.34.997 E099.06.16.996 A ;- Lanna
VTCR .       N019.53.05.449 E099.49.34.810 A ;- Chiang Rai
VTCS .       N018.10.00.001 E097.55.59.999 A ;- Mae Sariang
VTMS .       N011.43.06.664 E102.31.20.089 D ;- Koh Mai See
VTPL .       N016.49.27.559 E101.15.05.000 A ;- Lom Sak
VTPU .       N017.40.18.001 E100.14.16.987 A ;- Uttaradit
VTSA .       N006.39.41.051 E100.04.49.141 A ;- Satun
VTSD .       N010.28.59.999 E099.10.59.999 A ;- Chumphon
VTSY .       N006.31.36.401 E101.14.31.297 A ;- Ya La
VTUB .       N016.31.59.999 E104.43.00.001 A ;- Mukdahan
VTUC .       N015.48.00.000 E102.01.59.999 A ;- Chaiyaphum
VTUM .       N017.52.00.001 E102.43.00.001 A ;- Nong Khai
VTUP .       N017.25.00.001 E104.46.59.999 A ;- Nakhon Phanom
VTUR .       N016.04.13.260 E103.38.45.240 A ;- Roi Et
