VTBB_CTR   N011.39.06.000 E102.54.59.002 N010.00.07.100 E102.14.47.613
           N010.00.07.100 E102.14.47.613 N007.00.00.000 E103.00.00.000
           N007.00.00.000 E103.00.00.000 N006.45.00.000 E102.39.59.991
           N006.45.00.000 E102.39.59.991 N006.15.00.000 E102.15.00.000
           N006.15.00.000 E102.15.00.000 N006.14.17.100 E102.06.19.605
           N006.14.17.100 E102.06.19.605 N005.43.54.400 E101.49.33.312
           N005.43.54.400 E101.49.33.312 N005.47.59.201 E101.45.11.508
           N005.47.59.201 E101.45.11.508 N005.45.19.501 E101.41.40.214
           N005.45.19.501 E101.41.40.214 N005.56.01.300 E101.35.02.289
           N005.56.01.300 E101.35.02.289 N005.48.36.300 E101.16.12.592
           N005.48.36.300 E101.16.12.592 N005.42.25.400 E101.15.29.608
           N005.42.25.400 E101.15.29.608 N005.36.36.000 E101.08.18.395
           N005.36.36.000 E101.08.18.395 N005.47.57.400 E100.59.03.091
           N005.47.57.400 E100.59.03.091 N005.55.05.400 E101.01.54.313
           N005.55.05.400 E101.01.54.313 N005.54.47.501 E101.05.06.711
           N005.54.47.501 E101.05.06.711 N005.58.39.300 E101.07.15.114
           N005.58.39.300 E101.07.15.114 N006.06.29.999 E101.07.33.214
           N006.06.29.999 E101.07.33.214 N006.08.38.400 E101.03.41.704
           N006.08.38.400 E101.03.41.704 N006.11.15.201 E101.07.26.292
           N006.11.15.201 E101.07.26.292 N006.15.14.100 E101.06.29.410
           N006.15.14.100 E101.06.29.410 N006.16.47.000 E100.58.28.292
           N006.16.47.000 E100.58.28.292 N006.13.52.300 E100.51.02.714
           N006.13.52.300 E100.51.02.714 N006.26.10.200 E100.49.01.589
           N006.26.10.200 E100.49.01.589 N006.30.20.500 E100.44.01.608
           N006.30.20.500 E100.44.01.608 N006.26.31.001 E100.39.06.790
           N006.26.31.001 E100.39.06.790 N006.32.14.900 E100.21.51.191
           N006.32.14.900 E100.21.51.191 N006.42.09.399 E100.17.19.691
           N006.42.09.399 E100.17.19.691 N006.41.19.499 E100.10.16.992
           N006.41.19.499 E100.10.16.992 N006.33.58.800 E100.11.01.597
           N006.33.58.800 E100.11.01.597 N006.25.21.299 E100.07.16.212
           N006.25.21.299 E100.07.16.212 N006.23.55.000 E100.02.24.003
           N006.23.55.000 E100.02.24.003 N006.33.24.001 E099.52.51.011
           N006.33.24.001 E099.52.51.011 N006.25.20.000 E099.34.33.010
           N006.25.20.000 E099.34.33.010 N006.29.58.999 E099.29.59.011
           N006.29.58.999 E099.29.59.011 N007.15.07.900 E097.59.49.508
           N007.15.07.900 E097.59.49.508 N010.00.06.901 E096.29.50.112
           N010.00.06.901 E096.29.50.112 N010.00.00.000 E098.34.48.995
           N010.00.00.000 E098.34.48.995 N009.58.12.499 E098.35.44.696
           N009.58.12.499 E098.35.44.696 N010.29.50.899 E098.49.06.588
           N010.29.50.899 E098.49.06.588 N010.40.39.799 E098.46.46.100
           N010.40.39.799 E098.46.46.100 N010.49.08.899 E098.55.18.091
           N010.49.08.899 E098.55.18.091 N010.49.53.599 E099.00.06.290
           N010.49.53.599 E099.00.06.290 N010.57.44.799 E099.01.23.908
           N010.57.44.799 E099.01.23.908 N010.57.23.301 E099.05.15.994
           N010.57.23.301 E099.05.15.994 N011.06.17.198 E099.14.07.101
           N011.06.17.198 E099.14.07.101 N011.31.33.401 E099.28.25.792
           N011.31.33.401 E099.28.25.792 N011.37.02.201 E099.28.43.590
           N011.37.02.201 E099.28.43.590 N011.37.31.500 E099.34.14.086
           N011.37.31.500 E099.34.14.086 N011.48.55.001 E099.40.07.407
           N011.48.55.001 E099.40.07.407 N011.52.12.501 E099.35.49.393
           N011.52.12.501 E099.35.49.393 N011.59.33.200 E099.35.45.905
           N011.59.33.200 E099.35.45.905 N012.00.37.601 E099.33.10.997
           N012.00.37.601 E099.33.10.997 N012.08.19.401 E099.34.50.314
           N012.08.19.401 E099.34.50.314 N012.07.56.899 E099.28.47.188
           N012.07.56.899 E099.28.47.188 N012.16.07.999 E099.29.28.387
           N012.16.07.999 E099.29.28.387 N012.27.18.199 E099.24.55.789
           N012.27.18.199 E099.24.55.789 N012.34.53.901 E099.26.38.099
