VDPP_CTR   N014.41.09.600 E107.32.40.593 N014.37.03.001 E107.33.24.099
           N014.37.03.001 E107.33.24.099 N014.24.37.201 E107.29.36.187
           N014.24.37.201 E107.29.36.187 N014.24.55.600 E107.26.59.110
           N014.24.55.600 E107.26.59.110 N014.19.04.700 E107.23.42.894
           N014.19.04.700 E107.23.42.894 N014.14.07.702 E107.24.26.702
           N014.14.07.702 E107.24.26.702 N014.06.39.600 E107.20.21.213
           N014.06.39.600 E107.20.21.213 N014.04.53.301 E107.22.26.292
           N014.04.53.301 E107.22.26.292 N014.00.40.701 E107.22.03.798
           N014.00.40.701 E107.22.03.798 N013.58.45.200 E107.27.28.087
           N013.58.45.200 E107.27.28.087 N013.47.17.099 E107.27.21.797
           N013.47.17.099 E107.27.21.797 N013.44.12.700 E107.32.09.611
           N013.44.12.700 E107.32.09.611 N013.30.57.901 E107.37.06.489
           N013.30.57.901 E107.37.06.489 N013.21.26.499 E107.37.34.010
           N013.21.26.499 E107.37.34.010 N012.57.12.599 E107.29.21.411
           N012.57.12.599 E107.29.21.411 N012.47.19.598 E107.33.52.993
           N012.47.19.598 E107.33.52.993 N012.35.14.999 E107.35.19.208
           N012.35.14.999 E107.35.19.208 N012.20.43.700 E107.32.45.701
           N012.20.43.700 E107.32.45.701 N012.14.43.902 E107.26.01.487
           N012.14.43.902 E107.26.01.487 N012.19.31.798 E107.21.01.203
           N012.19.31.798 E107.21.01.203 N012.16.16.101 E107.09.26.895
           N012.16.16.101 E107.09.26.895 N012.05.21.099 E106.59.57.995
           N012.05.21.099 E106.59.57.995 N012.03.35.899 E106.55.07.407
           N012.03.35.899 E106.55.07.407 N012.04.30.501 E106.47.40.895
           N012.04.30.501 E106.47.40.895 N011.58.06.899 E106.43.19.310
           N011.58.06.899 E106.43.19.310 N011.58.20.502 E106.25.04.688
           N011.58.20.502 E106.25.04.688 N011.52.02.902 E106.28.02.007
           N011.52.02.902 E106.28.02.007 N011.46.06.701 E106.25.07.901
           N011.46.06.701 E106.25.07.901 N011.40.02.099 E106.26.55.512
           N011.40.02.099 E106.26.55.512 N011.41.58.399 E106.23.15.593
           N011.41.58.399 E106.23.15.593 N011.40.20.298 E106.18.23.796
           N011.40.20.298 E106.18.23.796 N011.45.11.299 E106.11.33.512
           N011.45.11.299 E106.11.33.512 N011.46.30.902 E106.02.12.193
           N011.46.30.902 E106.02.12.193 N011.38.30.202 E105.57.31.712
           N011.38.30.202 E105.57.31.712 N011.39.28.601 E105.51.02.109
           N011.39.28.601 E105.51.02.109 N011.35.53.101 E105.48.40.688
           N011.35.53.101 E105.48.40.688 N011.32.04.300 E105.52.57.603
           N011.32.04.300 E105.52.57.603 N011.17.38.399 E105.52.17.613
           N011.17.38.399 E105.52.17.613 N011.04.15.899 E106.06.34.299
           N011.04.15.899 E106.06.34.299 N011.05.54.199 E106.08.57.589
           N011.05.54.199 E106.08.57.589 N011.04.36.299 E106.10.36.411
           N011.04.36.299 E106.10.36.411 N010.58.40.898 E106.12.25.203
           N010.58.40.898 E106.12.25.203 N010.58.33.400 E106.08.59.099
           N010.58.33.400 E106.08.59.099 N010.54.43.700 E106.08.45.311
           N010.54.43.700 E106.08.45.311 N010.47.23.499 E106.11.32.606
           N010.47.23.499 E106.11.32.606 N010.48.44.300 E106.04.22.189
           N010.48.44.300 E106.04.22.189 N010.54.10.899 E105.57.15.095
           N010.54.10.899 E105.57.15.095 N010.50.14.099 E105.56.01.212
           N010.50.14.099 E105.56.01.212 N010.51.34.399 E105.51.36.497
           N010.51.34.399 E105.51.36.497 N010.54.21.099 E105.51.49.790
           N010.54.21.099 E105.51.49.790 N011.01.35.300 E105.46.39.097
           N011.01.35.300 E105.46.39.097 N010.57.00.799 E105.32.41.197
           N010.57.00.799 E105.32.41.197 N010.57.59.301 E105.25.46.490
           N010.57.59.301 E105.25.46.490 N010.50.58.800 E105.21.24.906
           N010.50.58.800 E105.21.24.906 N010.55.00.599 E105.06.43.500
           N010.55.00.599 E105.06.43.500 N010.57.21.399 E105.06.35.013
           N010.57.21.399 E105.06.35.013 N010.52.45.298 E105.02.03.706
           N010.52.45.298 E105.02.03.706 N010.42.39.001 E105.05.35.989
           N010.42.39.001 E105.05.35.989 N010.37.42.401 E104.57.01.692
           N010.37.42.401 E104.57.01.692 N010.31.30.201 E104.52.33.104
           N010.31.30.201 E104.52.33.104 N010.31.47.100 E104.35.34.891
           N010.31.47.100 E104.35.34.891 N010.24.35.399 E104.30.09.503
