AAAA_CTR   N021.30.20.840 E108.01.33.494 N021.12.35.001 E108.12.30.998
           N021.12.35.001 E108.12.30.998 N020.30.00.000 E108.03.00.011
           N020.30.00.000 E108.03.00.011 N019.57.33.003 E107.55.47.012
           N019.57.33.003 E107.55.47.012 N019.16.04.002 E107.11.22.993
           N019.16.04.002 E107.11.22.993 N018.20.27.997 E107.40.53.000
           N018.20.27.997 E107.40.53.000 N017.56.32.022 E108.07.39.229
           N017.56.32.022 E108.07.39.229 N017.26.05.002 E108.41.39.005
           N017.26.05.002 E108.41.39.005 N017.00.00.000 E107.18.00.011
           N017.00.00.000 E107.18.00.011 N017.00.00.000 E106.26.07.996
           N017.00.00.000 E106.26.07.996 N017.17.35.498 E106.18.22.203
           N017.17.35.498 E106.18.22.203 N017.14.47.297 E106.15.02.911
           N017.14.47.297 E106.15.02.911 N017.16.45.702 E106.11.33.787
           N017.16.45.702 E106.11.33.787 N017.37.29.197 E105.52.05.198
           N017.37.29.197 E105.52.05.198 N017.40.14.397 E105.45.32.492
           N017.40.14.397 E105.45.32.492 N017.50.47.697 E105.40.47.507
           N017.50.47.697 E105.40.47.507 N017.53.12.400 E105.37.04.512
           N017.53.12.400 E105.37.04.512 N017.59.32.198 E105.38.42.208
           N017.59.32.198 E105.38.42.208 N018.07.26.498 E105.30.56.195
           N018.07.26.498 E105.30.56.195 N018.11.45.398 E105.30.13.513
           N018.11.45.398 E105.30.13.513 N018.13.08.303 E105.26.50.294
           N018.13.08.303 E105.26.50.294 N018.09.03.899 E105.24.22.500
           N018.09.03.899 E105.24.22.500 N018.09.40.998 E105.22.08.494
           N018.09.40.998 E105.22.08.494 N018.15.38.898 E105.19.50.012
           N018.15.38.898 E105.19.50.012 N018.14.25.098 E105.18.19.100
           N018.14.25.098 E105.18.19.100 N018.19.26.899 E105.11.32.496
           N018.19.26.899 E105.11.32.496 N018.22.54.500 E105.12.09.300
           N018.22.54.500 E105.12.09.300 N018.26.56.398 E105.06.31.113
           N018.26.56.398 E105.06.31.113 N018.35.13.303 E105.08.17.186
           N018.35.13.303 E105.08.17.186 N018.38.31.599 E105.12.02.406
           N018.38.31.599 E105.12.02.406 N018.42.30.799 E105.08.50.310
           N018.42.30.799 E105.08.50.310 N018.48.22.602 E104.44.43.603
           N018.48.22.602 E104.44.43.603 N018.58.49.701 E104.32.32.902
           N018.58.49.701 E104.32.32.902 N018.59.10.603 E104.27.03.807
           N018.59.10.603 E104.27.03.807 N019.04.29.302 E104.22.13.109
           N019.04.29.302 E104.22.13.109 N019.07.07.100 E104.13.29.308
           N019.07.07.100 E104.13.29.308 N019.11.51.502 E104.11.15.604
           N019.11.51.502 E104.11.15.604 N019.18.29.702 E103.52.39.613
           N019.18.29.702 E103.52.39.613 N019.25.24.401 E104.04.44.601
           N019.25.24.401 E104.04.44.601 N019.30.14.797 E104.07.34.889
           N019.30.14.797 E104.07.34.889 N019.37.34.099 E104.02.36.006
           N019.37.34.099 E104.02.36.006 N019.42.10.598 E104.02.43.010
           N019.42.10.598 E104.02.43.010 N019.39.53.502 E104.06.42.814
           N019.39.53.502 E104.06.42.814 N019.42.39.299 E104.13.33.812
           N019.42.39.299 E104.13.33.812 N019.40.14.603 E104.19.39.987
           N019.40.14.603 E104.19.39.987 N019.42.35.097 E104.25.11.609
           N019.42.35.097 E104.25.11.609 N019.37.34.800 E104.30.49.905
           N019.37.34.800 E104.30.49.905 N019.37.27.700 E104.39.03.109
           N019.37.27.700 E104.39.03.109 N019.44.37.402 E104.42.09.794
           N019.44.37.402 E104.42.09.794 N019.48.06.397 E104.50.22.311
           N019.48.06.397 E104.50.22.311 N019.51.34.897 E104.50.21.295
           N019.51.34.897 E104.50.21.295 N019.52.49.102 E104.46.31.296
           N019.52.49.102 E104.46.31.296 N019.55.01.900 E104.47.58.693
           N019.55.01.900 E104.47.58.693 N019.59.53.600 E104.53.50.695
           N019.59.53.600 E104.53.50.695 N020.00.00.000 E104.58.39.388
           N020.00.00.000 E104.58.39.388 N020.10.35.600 E104.56.57.599
           N020.10.35.600 E104.56.57.599 N020.13.47.902 E104.50.22.202
           N020.13.47.902 E104.50.22.202 N020.12.48.899 E104.40.37.701
           N020.12.48.899 E104.40.37.701 N020.19.24.503 E104.43.03.188
           N020.19.24.503 E104.43.03.188 N020.25.21.201 E104.37.12.587
           N020.25.21.201 E104.37.12.587 N020.26.40.001 E104.22.42.112
           N020.26.40.001 E104.22.42.112 N020.31.50.502 E104.27.50.911
           N020.31.50.502 E104.27.50.911 N020.31.16.300 E104.32.56.990
           N020.31.16.300 E104.32.56.990 N020.40.04.303 E104.38.36.687
           N020.40.04.303 E104.38.36.687 N020.42.55.800 E104.30.08.597
           N020.42.55.800 E104.30.08.597 N020.54.47.803 E104.18.21.599
           N020.54.47.803 E104.18.21.599 N020.53.59.003 E104.15.07.690
           N020.53.59.003 E104.15.07.690 N020.58.54.597 E104.07.23.106
           N020.58.54.597 E104.07.23.106 N020.54.27.801 E104.01.57.691
           N020.54.27.801 E104.01.57.691 N020.51.25.098 E103.48.35.689
           N020.51.25.098 E103.48.35.689 N020.45.18.100 E103.47.46.196
           N020.45.18.100 E103.47.46.196 N020.39.53.701 E103.41.56.501
           N020.39.53.701 E103.41.56.501 N020.44.50.401 E103.36.04.801
           N020.44.50.401 E103.36.04.801 N020.45.19.199 E103.30.54.410
           N020.45.19.199 E103.30.54.410 N020.49.38.400 E103.28.13.405
           N020.49.38.400 E103.28.13.405 N020.47.06.199 E103.24.10.690
           N020.47.06.199 E103.24.10.690 N020.51.03.902 E103.10.33.994
           N020.51.03.902 E103.10.33.994 N021.03.35.497 E103.02.07.496
