VYYY_CTR   N022.08.59.999 E092.37.00.007 N021.58.33.098 E092.36.31.690
           N021.58.33.098 E092.36.31.690 N022.00.55.900 E092.40.38.992
           N022.00.55.900 E092.40.38.992 N022.09.02.203 E092.42.23.802
           N022.09.02.203 E092.42.23.802 N022.03.32.098 E092.51.54.789
           N022.03.32.098 E092.51.54.789 N021.56.58.197 E092.53.51.793
           N021.56.58.197 E092.53.51.793 N022.01.38.403 E092.56.58.506
           N022.01.38.403 E092.56.58.506 N021.58.55.297 E092.59.57.308
           N021.58.55.297 E092.59.57.308 N022.11.46.400 E093.02.44.191
           N022.11.46.400 E093.02.44.191 N022.11.06.197 E093.10.04.907
           N022.11.06.197 E093.10.04.907 N022.14.15.801 E093.08.34.600
           N022.14.15.801 E093.08.34.600 N022.15.35.699 E093.11.55.512
           N022.15.35.699 E093.11.55.512 N022.32.13.999 E093.06.38.611
           N022.32.13.999 E093.06.38.611 N022.46.45.901 E093.05.59.692
           N022.46.45.901 E093.05.59.692 N022.54.34.503 E093.09.51.888
           N022.54.34.503 E093.09.51.888 N023.03.16.703 E093.08.16.994
           N023.03.16.703 E093.08.16.994 N023.00.12.703 E093.17.34.907
           N023.00.12.703 E093.17.34.907 N023.08.09.098 E093.23.15.895
           N023.08.09.098 E093.23.15.895 N023.20.51.302 E093.21.31.388
           N023.20.51.302 E093.21.31.388 N023.40.49.697 E093.26.15.192
           N023.40.49.697 E093.26.15.192 N024.04.47.203 E093.19.52.099
           N024.04.47.203 E093.19.52.099 N024.04.40.103 E093.24.10.195
           N024.04.40.103 E093.24.10.195 N023.57.09.698 E093.30.00.906
           N023.57.09.698 E093.30.00.906 N024.00.00.000 E093.45.39.688
           N024.00.00.000 E093.45.39.688 N023.55.44.197 E093.48.44.313
           N023.55.44.197 E093.48.44.313 N023.56.59.598 E093.55.59.399
           N023.56.59.598 E093.55.59.399 N023.51.19.701 E094.09.38.513
           N023.51.19.701 E094.09.38.513 N024.19.08.202 E094.19.19.991
           N024.19.08.202 E094.19.19.991 N024.41.51.001 E094.32.45.207
           N024.41.51.001 E094.32.45.207 N024.42.30.201 E094.36.10.294
           N024.42.30.201 E094.36.10.294 N025.01.19.603 E094.44.22.811
           N025.01.19.603 E094.44.22.811 N025.07.45.298 E094.44.00.591
           N025.07.45.298 E094.44.00.591 N025.12.37.899 E094.34.44.601
           N025.12.37.899 E094.34.44.601 N025.23.14.302 E094.37.52.192
           N025.23.14.302 E094.37.52.192 N025.44.04.203 E095.02.16.697
           N025.44.04.203 E095.02.16.697 N025.55.28.500 E095.01.25.803
           N025.55.28.500 E095.01.25.803 N026.03.48.900 E095.11.00.306
           N026.03.48.900 E095.11.00.306 N026.06.43.802 E095.06.56.492
           N026.06.43.802 E095.06.56.492 N026.18.28.301 E095.04.14.993
           N026.18.28.301 E095.04.14.993 N026.28.17.697 E095.04.21.694
           N026.28.17.697 E095.04.21.694 N026.37.16.803 E095.09.17.089
           N026.37.16.803 E095.09.17.089 N026.40.49.203 E095.14.26.794
           N026.40.49.203 E095.14.26.794 N026.38.35.698 E095.16.31.489
           N026.38.35.698 E095.16.31.489 N026.41.52.601 E095.26.03.712
           N026.41.52.601 E095.26.03.712 N026.48.42.899 E095.30.43.204
           N026.48.42.899 E095.30.43.204 N026.48.32.997 E095.35.54.611
           N026.48.32.997 E095.35.54.611 N027.00.28.297 E095.48.06.713
           N027.00.28.297 E095.48.06.713 N027.01.56.702 E095.55.24.106
           N027.01.56.702 E095.55.24.106 N027.13.27.399 E096.05.38.489
           N027.13.27.399 E096.05.38.489 N027.17.25.500 E096.17.59.709
           N027.17.25.500 E096.17.59.709 N027.17.35.601 E096.31.45.304
           N027.17.35.601 E096.31.45.304 N027.22.00.701 E096.36.28.998
           N027.22.00.701 E096.36.28.998 N027.20.56.602 E096.47.01.289
           N027.20.56.602 E096.47.01.289 N027.15.08.803 E096.53.13.506
           N027.15.08.803 E096.53.13.506 N027.10.59.097 E096.52.17.009
           N027.10.59.097 E096.52.17.009 N027.05.38.303 E097.08.36.687
           N027.05.38.303 E097.08.36.687 N027.08.05.699 E097.09.57.491
           N027.08.05.699 E097.09.57.491 N027.27.30.497 E096.54.04.510
           N027.27.30.497 E096.54.04.510 N027.36.27.900 E096.53.15.209
           N027.36.27.900 E096.53.15.209 N027.54.27.197 E097.15.33.398
           N027.54.27.197 E097.15.33.398 N027.53.46.300 E097.22.41.591
           N027.53.46.300 E097.22.41.591 N028.01.02.100 E097.24.11.898
           N028.01.02.100 E097.24.11.898 N028.06.03.002 E097.19.02.908
           N028.06.03.002 E097.19.02.908 N028.13.17.401 E097.20.57.413
           N028.13.17.401 E097.20.57.413 N028.17.38.698 E097.25.21.194
           N028.17.38.698 E097.25.21.194 N028.16.25.803 E097.28.22.606
           N028.16.25.803 E097.28.22.606 N028.32.35.601 E097.34.04.501
