CCCC_CTR   N036.25.00.005 E087.22.59.993 N036.01.59.998 E089.01.00.013
           N036.01.59.998 E089.01.00.013 N032.51.59.994 E091.54.59.991
           N032.51.59.994 E091.54.59.991 N032.05.59.995 E097.00.00.000
           N032.05.59.995 E097.00.00.000 N031.49.00.003 E098.35.00.009
           N031.49.00.003 E098.35.00.009 N032.55.00.005 E101.41.59.989
           N032.55.00.005 E101.41.59.989 N033.34.59.995 E103.52.59.993
           N033.34.59.995 E103.52.59.993 N032.27.00.003 E105.48.59.996
           N032.27.00.003 E105.48.59.996 N032.14.00.001 E107.24.00.005
           N032.14.00.001 E107.24.00.005 N031.53.59.999 E109.31.00.013
           N031.53.59.999 E109.31.00.013 N029.30.59.999 E109.24.00.005
           N029.30.59.999 E109.24.00.005 N028.46.59.998 E109.22.59.993
           N028.46.59.998 E109.22.59.993 N026.35.00.002 E109.18.59.996
           N026.35.00.002 E109.18.59.996 N026.15.44.000 E108.42.37.013
           N026.15.44.000 E108.42.37.013 N025.42.00.003 E107.39.00.005
           N025.42.00.003 E107.39.00.005 N024.38.59.999 E105.48.00.011
           N024.38.59.999 E105.48.00.011 N023.11.45.000 E105.32.29.991
           N023.11.45.000 E105.32.29.991 N023.23.00.000 E105.20.00.009
           N023.23.00.000 E105.20.00.009 N023.15.59.999 E105.13.00.002
           N023.15.59.999 E105.13.00.002 N023.15.59.999 E105.05.00.009
           N023.15.59.999 E105.05.00.009 N023.10.59.997 E104.54.59.991
           N023.10.59.997 E104.54.59.991 N023.07.00.000 E104.52.59.993
           N023.07.00.000 E104.52.59.993 N023.07.00.000 E104.48.59.996
           N023.07.00.000 E104.48.59.996 N022.57.00.003 E104.52.00.007
           N022.57.00.003 E104.52.00.007 N022.49.00.003 E104.43.59.987
           N022.49.00.003 E104.43.59.987 N022.52.00.000 E104.35.00.009
           N022.52.00.000 E104.35.00.009 N022.41.30.003 E104.22.00.007
           N022.41.30.003 E104.22.00.007 N022.45.00.000 E104.16.00.013
           N022.45.00.000 E104.16.00.013 N022.51.00.001 E104.16.59.998
           N022.51.00.001 E104.16.59.998 N022.49.00.003 E104.07.59.993
           N022.49.00.003 E104.07.59.993 N022.39.59.998 E104.01.59.998
           N022.39.59.998 E104.01.59.998 N022.30.59.999 E104.00.00.000
           N022.30.59.999 E104.00.00.000 N022.47.59.997 E103.39.00.005
           N022.47.59.997 E103.39.00.005 N022.36.00.001 E103.31.59.998
           N022.36.00.001 E103.31.59.998 N022.45.00.000 E103.26.59.989
           N022.45.00.000 E103.26.59.989 N022.49.00.003 E103.20.00.009
           N022.49.00.003 E103.20.00.009 N022.40.59.997 E103.16.59.998
           N022.40.59.997 E103.16.59.998 N022.38.59.999 E103.11.00.004
           N022.38.59.999 E103.11.00.004 N022.34.00.003 E103.11.00.004
           N022.34.00.003 E103.11.00.004 N022.30.00.000 E103.03.59.996
           N022.30.00.000 E103.03.59.996 N022.27.00.003 E103.05.00.009
           N022.27.00.003 E103.05.00.009 N022.29.00.001 E102.56.00.004
           N022.29.00.001 E102.56.00.004 N022.35.00.002 E102.52.59.993
           N022.35.00.002 E102.52.59.993 N022.46.59.998 E102.30.00.000
           N022.46.59.998 E102.30.00.000 N022.40.59.997 E102.22.59.993
           N022.40.59.997 E102.22.59.993 N022.38.59.999 E102.24.59.991
           N022.38.59.999 E102.24.59.991 N022.27.00.003 E102.15.00.000
           N022.27.00.003 E102.15.00.000 N022.23.59.999 E102.09.00.005
           N022.23.59.999 E102.09.00.005 N022.27.00.003 E102.00.00.000
