WMFC_CTR   N010.00.00.000 E094.24.59.991 N010.00.00.000 E096.30.00.000
           N010.00.00.000 E096.30.00.000 N007.15.00.000 E098.00.00.000
           N007.15.00.000 E098.00.00.000 N006.30.00.000 E099.30.00.000
           N006.30.00.000 E099.30.00.000 N006.25.20.000 E099.34.33.010
           N006.25.20.000 E099.34.33.010 N006.33.24.001 E099.52.51.011
           N006.33.24.001 E099.52.51.011 N006.23.55.000 E100.02.24.003
           N006.23.55.000 E100.02.24.003 N006.25.21.299 E100.07.16.212
           N006.25.21.299 E100.07.16.212 N006.29.43.100 E100.09.32.992
           N006.29.43.100 E100.09.32.992 N006.33.27.400 E100.09.25.109
           N006.33.27.400 E100.09.25.109 N006.33.58.800 E100.11.01.597
           N006.33.58.800 E100.11.01.597 N006.36.22.201 E100.09.58.892
           N006.36.22.201 E100.09.58.892 N006.41.19.499 E100.10.16.992
           N006.41.19.499 E100.10.16.992 N006.42.50.900 E100.12.11.689
           N006.42.50.900 E100.12.11.689 N006.41.19.700 E100.13.40.486
           N006.41.19.700 E100.13.40.486 N006.42.09.399 E100.17.19.691
           N006.42.09.399 E100.17.19.691 N006.39.12.101 E100.19.11.889
           N006.39.12.101 E100.19.11.889 N006.37.09.500 E100.19.30.209
           N006.37.09.500 E100.19.30.209 N006.36.06.900 E100.18.25.005
           N006.36.06.900 E100.18.25.005 N006.32.14.900 E100.21.51.191
           N006.32.14.900 E100.21.51.191 N006.30.48.899 E100.25.38.196
           N006.30.48.899 E100.25.38.196 N006.30.59.400 E100.29.27.700
           N006.30.59.400 E100.29.27.700 N006.29.25.601 E100.31.04.297
           N006.29.25.601 E100.31.04.297 N006.29.12.599 E100.34.12.109
           N006.29.12.599 E100.34.12.109 N006.26.31.001 E100.39.06.790
           N006.26.31.001 E100.39.06.790 N006.27.54.500 E100.42.04.191
           N006.27.54.500 E100.42.04.191 N006.30.20.500 E100.44.01.608
           N006.30.20.500 E100.44.01.608 N006.27.38.800 E100.45.04.202
           N006.27.38.800 E100.45.04.202 N006.26.10.200 E100.49.01.589
           N006.26.10.200 E100.49.01.589 N006.13.52.300 E100.51.02.714
           N006.13.52.300 E100.51.02.714 N006.15.21.399 E100.52.21.211
           N006.15.21.399 E100.52.21.211 N006.13.59.400 E100.54.18.710
           N006.13.59.400 E100.54.18.710 N006.14.31.501 E100.56.44.910
           N006.14.31.501 E100.56.44.910 N006.16.47.000 E100.58.28.292
           N006.16.47.000 E100.58.28.292 N006.14.31.399 E101.01.22.892
           N006.14.31.399 E101.01.22.892 N006.15.14.100 E101.06.29.410
           N006.15.14.100 E101.06.29.410 N006.11.15.201 E101.07.26.292
           N006.11.15.201 E101.07.26.292 N006.10.36.100 E101.05.03.690
           N006.10.36.100 E101.05.03.690 N006.08.38.400 E101.03.41.704
           N006.08.38.400 E101.03.41.704 N006.06.29.999 E101.07.33.214
           N006.06.29.999 E101.07.33.214 N006.03.03.200 E101.06.18.287
           N006.03.03.200 E101.06.18.287 N005.58.39.300 E101.07.15.114
           N005.58.39.300 E101.07.15.114 N005.57.20.800 E101.05.42.389
           N005.57.20.800 E101.05.42.389 N005.54.47.501 E101.05.06.711
           N005.54.47.501 E101.05.06.711 N005.55.05.400 E101.01.54.313
           N005.55.05.400 E101.01.54.313 N005.47.57.400 E100.59.03.091
           N005.47.57.400 E100.59.03.091 N005.44.27.000 E101.01.54.011
           N005.44.27.000 E101.01.54.011 N005.43.22.701 E101.04.44.903
           N005.43.22.701 E101.04.44.903 N005.36.36.000 E101.08.18.395
           N005.36.36.000 E101.08.18.395 N005.42.25.400 E101.15.29.608
           N005.42.25.400 E101.15.29.608 N005.45.55.800 E101.15.08.405
           N005.45.55.800 E101.15.08.405 N005.48.36.300 E101.16.12.592
           N005.48.36.300 E101.16.12.592 N005.48.39.701 E101.20.54.007
           N005.48.39.701 E101.20.54.007 N005.52.35.000 E101.23.48.799
           N005.52.35.000 E101.23.48.799 N005.52.13.301 E101.28.58.696
           N005.52.13.301 E101.28.58.696 N005.56.01.300 E101.35.02.289
           N005.56.01.300 E101.35.02.289 N005.52.34.300 E101.37.35.301
           N005.52.34.300 E101.37.35.301 N005.52.13.000 E101.39.34.200
           N005.52.13.000 E101.39.34.200 N005.49.02.901 E101.39.39.996
           N005.49.02.901 E101.39.39.996 N005.45.19.501 E101.41.40.214
           N005.45.19.501 E101.41.40.214 N005.47.59.201 E101.45.11.508
           N005.47.59.201 E101.45.11.508 N005.43.54.400 E101.49.33.312
           N005.43.54.400 E101.49.33.312 N005.46.58.500 E101.49.33.587
           N005.46.58.500 E101.49.33.587 N005.52.17.900 E101.56.17.994
           N005.52.17.900 E101.56.17.994 N005.54.48.900 E101.55.02.902
           N005.54.48.900 E101.55.02.902 N005.58.59.199 E101.56.24.695
           N005.58.59.199 E101.56.24.695 N006.08.10.600 E102.05.04.211
           N006.08.10.600 E102.05.04.211 N006.12.39.200 E102.04.40.591
           N006.12.39.200 E102.04.40.591 N006.14.21.400 E102.05.50.711
           N006.14.21.400 E102.05.50.711 N006.15.00.000 E102.15.00.000
           N006.15.00.000 E102.15.00.000 N006.45.00.000 E102.39.59.991
           N006.45.00.000 E102.39.59.991 N004.50.00.001 E103.43.59.987
