DDDD_CTR   N018.54.19.698 E104.35.11.407 N018.48.22.602 E104.44.43.603
           N018.48.22.602 E104.44.43.603 N018.42.56.603 E105.08.16.692
           N018.42.56.603 E105.08.16.692 N018.38.57.197 E105.12.03.505
           N018.38.57.197 E105.12.03.505 N018.26.56.398 E105.06.31.113
           N018.26.56.398 E105.06.31.113 N018.22.54.500 E105.12.09.300
           N018.22.54.500 E105.12.09.300 N018.19.26.899 E105.11.32.496
           N018.19.26.899 E105.11.32.496 N018.15.38.898 E105.19.50.012
           N018.15.38.898 E105.19.50.012 N018.09.40.998 E105.22.08.494
           N018.09.40.998 E105.22.08.494 N018.13.08.303 E105.26.50.294
           N018.13.08.303 E105.26.50.294 N018.11.45.398 E105.30.13.513
           N018.11.45.398 E105.30.13.513 N017.59.32.198 E105.38.42.208
           N017.59.32.198 E105.38.42.208 N017.53.12.400 E105.37.04.512
           N017.53.12.400 E105.37.04.512 N017.40.14.397 E105.45.32.492
           N017.40.14.397 E105.45.32.492 N017.37.29.197 E105.52.05.198
           N017.37.29.197 E105.52.05.198 N017.16.45.702 E106.11.33.787
           N017.16.45.702 E106.11.33.787 N017.14.47.297 E106.15.02.911
           N017.14.47.297 E106.15.02.911 N017.17.35.498 E106.18.22.203
           N017.17.35.498 E106.18.22.203 N016.59.46.198 E106.26.21.097
           N016.59.46.198 E106.26.21.097 N016.59.36.002 E106.33.12.288
           N016.59.36.002 E106.33.12.288 N016.41.16.497 E106.33.27.394
           N016.41.16.497 E106.33.27.394 N016.34.56.603 E106.40.04.193
           N016.34.56.603 E106.40.04.193 N016.27.07.000 E106.40.43.991
           N016.27.07.000 E106.40.43.991 N016.25.27.999 E106.45.58.090
           N016.25.27.999 E106.45.58.090 N016.32.45.502 E106.50.50.299
           N016.32.45.502 E106.50.50.299 N016.18.20.803 E106.58.17.003
           N016.18.20.803 E106.58.17.003 N016.17.10.703 E107.07.47.798
           N016.17.10.703 E107.07.47.798 N016.11.07.001 E107.08.35.314
           N016.11.07.001 E107.08.35.314 N016.02.58.198 E107.20.27.805
           N016.02.58.198 E107.20.27.805 N016.04.11.999 E107.27.45.692
           N016.04.11.999 E107.27.45.692 N015.54.12.499 E107.24.50.295
           N015.54.12.499 E107.24.50.295 N015.50.03.302 E107.13.46.611
           N015.50.03.302 E107.13.46.611 N015.44.30.000 E107.13.04.012
           N015.44.30.000 E107.13.04.012 N015.29.45.701 E107.23.37.813
           N015.29.45.701 E107.23.37.813 N015.28.58.799 E107.31.24.210
           N015.28.58.799 E107.31.24.210 N015.24.28.501 E107.31.43.189
           N015.24.28.501 E107.31.43.189 N015.23.52.198 E107.35.56.396
           N015.23.52.198 E107.35.56.396 N015.15.35.500 E107.41.48.289
           N015.15.35.500 E107.41.48.289 N015.02.38.701 E107.37.05.089
           N015.02.38.701 E107.37.05.089 N015.00.23.500 E107.28.17.305
           N015.00.23.500 E107.28.17.305 N014.52.06.400 E107.36.05.488
           N014.52.06.400 E107.36.05.488 N014.47.32.998 E107.30.53.696
           N014.47.32.998 E107.30.53.696 N014.42.01.699 E107.33.01.686
           N014.42.01.699 E107.33.01.686 N014.31.40.401 E107.27.10.893
