WSJC_CTR   N010.30.00.000 E114.00.00.000 N008.25.00.001 E116.30.00.000
           N008.25.00.001 E116.30.00.000 N008.17.05.941 E116.19.31.609
           N008.17.05.941 E116.19.31.609 N005.16.47.839 E112.23.37.703
           N005.16.47.839 E112.23.37.703 N002.15.00.000 E108.30.00.000
           N002.15.00.000 E108.30.00.000 N001.00.00.000 E108.30.00.000
           N001.00.00.000 E108.30.00.000 N001.00.00.000 E108.54.00.005
           N001.00.00.000 E108.54.00.005 N001.00.00.540 E108.58.46.913
           N001.00.00.540 E108.58.46.913 N000.59.43.140 E108.58.54.576
           N000.59.43.140 E108.58.54.576 N000.57.26.390 E108.59.19.268
           N000.57.26.390 E108.59.19.268 N000.53.52.560 E108.57.20.698
           N000.53.52.560 E108.57.20.698 N000.52.10.620 E108.55.34.488
           N000.52.10.620 E108.55.34.488 N000.52.03.160 E108.53.23.586
           N000.52.03.160 E108.53.23.586 N000.50.28.680 E108.52.09.483
           N000.50.28.680 E108.52.09.483 N000.50.06.300 E108.51.12.656
           N000.50.06.300 E108.51.12.656 N000.48.44.250 E108.50.40.549
           N000.48.44.250 E108.50.40.549 N000.46.02.630 E108.52.53.950
           N000.46.02.630 E108.52.53.950 N000.44.20.680 E108.53.08.754
           N000.44.20.680 E108.53.08.754 N000.43.25.980 E108.52.14.427
           N000.43.25.980 E108.52.14.427 N000.42.16.360 E108.52.14.427
           N000.42.16.360 E108.52.14.427 N000.40.17.000 E108.54.37.689
           N000.40.17.000 E108.54.37.689 N000.35.55.920 E108.55.54.263
           N000.35.55.920 E108.55.54.263 N000.35.06.190 E108.55.46.848
           N000.35.06.190 E108.55.46.848 N000.30.32.660 E108.54.12.969
           N000.30.32.660 E108.54.12.969 N000.25.49.190 E108.56.31.315
           N000.25.49.190 E108.56.31.315 N000.24.34.590 E108.56.43.647
           N000.24.34.590 E108.56.43.647 N000.19.51.110 E108.54.42.632
           N000.19.51.110 E108.54.42.632 N000.19.06.350 E108.54.40.161
           N000.19.06.350 E108.54.40.161 N000.19.23.760 E108.54.57.437
