;KRABI CONTROL ZONE
VTSG_CTR   N008.16.27.099 E098.56.16.152 N008.16.16.162 E098.58.01.259 
           N008.16.16.162 E098.58.01.259 N008.15.47.322 E098.59.42.846 
           N008.15.47.322 E098.59.42.846 N008.15.01.457 E099.01.17.824 
           N008.15.01.457 E099.01.17.824 N008.13.59.962 E099.02.43.305 
           N008.13.59.962 E099.02.43.305 N008.12.44.707 E099.03.56.689 
           N008.12.44.707 E099.03.56.689 N008.11.17.980 E099.04.55.747 
           N008.11.17.980 E099.04.55.747 N008.09.42.419 E099.05.38.686 
           N008.09.42.419 E099.05.38.686 N008.08.00.929 E099.06.04.205 
           N008.08.00.929 E099.06.04.205 N008.06.16.594 E099.06.11.531 
           N008.06.16.594 E099.06.11.531 N008.04.32.585 E099.06.00.446 
           N008.04.32.585 E099.06.00.446 N008.02.52.061 E099.05.31.290 
           N008.02.52.061 E099.05.31.290 N008.01.18.076 E099.04.44.952 
           N008.01.18.076 E099.04.44.952 N007.59.53.484 E099.03.42.844 
           N007.59.53.484 E099.03.42.844 N007.58.40.853 E099.02.26.852 
           N007.58.40.853 E099.02.26.852 N007.57.42.389 E099.00.59.287 
           N007.57.42.389 E099.00.59.287 N007.56.59.866 E098.59.22.806 
           N007.56.59.866 E098.59.22.806 N007.56.34.574 E098.57.40.340 
           N007.56.34.574 E098.57.40.340 N007.56.27.281 E098.55.54.997 
           N007.56.27.281 E098.55.54.997 N007.56.38.209 E098.54.09.975 
           N007.56.38.209 E098.54.09.975 N007.57.07.026 E098.52.28.462 
           N007.57.07.026 E098.52.28.462 N007.57.52.857 E098.50.53.538 
           N007.57.52.857 E098.50.53.538 N007.58.54.311 E098.49.28.084 
           N007.58.54.311 E098.49.28.084 N008.00.09.523 E098.48.14.697 
           N008.00.09.523 E098.48.14.697 N008.01.36.209 E098.47.15.606 
           N008.01.36.209 E098.47.15.606 N008.03.11.738 E098.46.32.609 
           N008.03.11.738 E098.46.32.609 N008.04.53.208 E098.46.07.013 
           N008.04.53.208 E098.46.07.013 N008.06.37.537 E098.45.59.600 
           N008.06.37.537 E098.45.59.600 N008.08.21.555 E098.46.10.600 
           N008.08.21.555 E098.46.10.600 N008.10.02.102 E098.46.39.682 
           N008.10.02.102 E098.46.39.682 N008.11.36.121 E098.47.25.966 
           N008.11.36.121 E098.47.25.966 N008.13.00.754 E098.48.28.048 
           N008.13.00.754 E098.48.28.048 N008.14.13.428 E098.49.44.042 
           N008.14.13.428 E098.49.44.042 N008.15.11.932 E098.51.11.640 
           N008.15.11.932 E098.51.11.640 N008.15.54.488 E098.52.48.179 
           N008.15.54.488 E098.52.48.179 N008.16.19.800 E098.54.30.723 
; Closing DME Arc
           N008.16.19.800 E098.54.30.723 N008.16.27.190 E098.56.05.570 
;===== DME ARC - End
