;HUA HIN TMA 
VTPH_TMA   N012.57.28.230 E099.40.52.358 N012.58.46.170 E099.42.40.223 
           N012.58.46.170 E099.42.40.223 N012.59.54.639 E099.44.34.666 
           N012.59.54.639 E099.44.34.666 N013.00.53.114 E099.46.34.814 
           N013.00.53.114 E099.46.34.814 N013.01.41.147 E099.48.39.749 
           N013.01.41.147 E099.48.39.749 N013.02.18.371 E099.50.48.517 
           N013.02.18.371 E099.50.48.517 N013.02.44.502 E099.53.00.134 
           N013.02.44.502 E099.53.00.134 N013.02.59.340 E099.55.13.592 
           N013.02.59.340 E099.55.13.592 N013.03.02.771 E099.57.27.872 
           N013.03.02.771 E099.57.27.872 N013.02.54.769 E099.59.41.947 
           N013.02.54.769 E099.59.41.947 N013.02.35.396 E100.01.54.791 
           N013.02.35.396 E100.01.54.791 N013.02.04.799 E100.04.05.388 
           N013.02.04.799 E100.04.05.388 N013.01.23.212 E100.06.12.739 
           N013.01.23.212 E100.06.12.739 N013.00.30.953 E100.08.15.872 
           N013.00.30.953 E100.08.15.872 N012.59.28.423 E100.10.13.845 
           N012.59.28.423 E100.10.13.845 N012.58.16.099 E100.12.05.759 
           N012.58.16.099 E100.12.05.759 N012.56.54.533 E100.13.50.760 
           N012.56.54.533 E100.13.50.760 N012.55.24.349 E100.15.28.047 
           N012.55.24.349 E100.15.28.047 N012.53.46.236 E100.16.56.880 
           N012.53.46.236 E100.16.56.880 N012.52.00.943 E100.18.16.583
           N012.41.40.315 E100.11.59.148 N012.40.23.361 E100.12.15.117 
           N012.40.23.361 E100.12.15.117 N012.39.05.343 E100.12.24.149 
           N012.39.05.343 E100.12.24.149 N012.37.46.853 E100.12.26.176 
           N012.37.46.853 E100.12.26.176 N012.36.28.489 E100.12.21.186 
           N012.36.28.489 E100.12.21.186 N012.35.10.848 E100.12.09.218 
           N012.35.10.848 E100.12.09.218 N012.33.54.521 E100.11.50.365 
           N012.33.54.521 E100.11.50.365 N012.32.40.086 E100.11.24.771 
           N012.32.40.086 E100.11.24.771 N012.31.28.112 E100.10.52.633 
           N012.31.28.112 E100.10.52.633 N012.30.19.144 E100.10.14.197 
           N012.30.19.144 E100.10.14.197 N012.29.13.706 E100.09.29.756 
           N012.29.13.706 E100.09.29.756 N012.28.12.297 E100.08.39.649 
           N012.28.12.297 E100.08.39.649 N012.27.15.383 E100.07.44.258 
           N012.27.15.383 E100.07.44.258 N012.26.23.395 E100.06.44.004 
           N012.26.23.395 E100.06.44.004 N012.25.36.729 E100.05.39.346 
           N012.25.36.729 E100.05.39.346 N012.24.55.739 E100.04.30.776
           N012.14.16.300 E100.04.58.300 N012.13.41.384 E100.02.49.257 
           N012.13.41.384 E100.02.49.257 N012.13.17.575 E100.00.37.599 
           N012.13.17.575 E100.00.37.599 N012.13.05.052 E099.58.24.323 
           N012.13.05.052 E099.58.24.323 N012.13.03.912 E099.56.10.438  
           N012.23.29.708 E099.53.21.078 N012.23.51.987 E099.52.03.994 
           N012.23.51.987 E099.52.03.994 N012.24.20.737 E099.50.49.186 
           N012.24.20.737 E099.50.49.186 N012.24.55.739 E099.49.37.224 
           N012.24.55.739 E099.49.37.224 N012.25.36.729 E099.48.28.654 
           N012.25.36.729 E099.48.28.654 N012.26.23.395 E099.47.23.996 
           N012.26.23.395 E099.47.23.996 N012.27.15.383 E099.46.23.742 
           N012.27.15.383 E099.46.23.742 N012.28.12.297 E099.45.28.351 
           N012.28.12.297 E099.45.28.351 N012.29.13.706 E099.44.38.244 
           N012.29.13.706 E099.44.38.244 N012.30.19.144 E099.43.53.803 
           N012.30.19.144 E099.43.53.803 N012.31.28.112 E099.43.15.367 
           N012.31.28.112 E099.43.15.367 N012.32.40.086 E099.42.43.229 
           N012.32.40.086 E099.42.43.229 N012.33.54.521 E099.42.17.635 
           N012.33.54.521 E099.42.17.635 N012.35.10.848 E099.41.58.782 
           N012.35.10.848 E099.41.58.782 N012.36.28.489 E099.41.46.814 
           N012.36.28.489 E099.41.46.814 N012.37.46.853 E099.41.41.824 
           N012.37.46.853 E099.41.41.824 N012.39.05.343 E099.41.43.851 
           N012.39.05.343 E099.41.43.851 N012.40.23.361 E099.41.52.883 
           N012.40.23.361 E099.41.52.883 N012.41.40.315 E099.42.08.852 
           N012.41.40.315 E099.42.08.852 N012.42.55.617 E099.42.31.639 
           N012.42.55.617 E099.42.31.639 N012.44.08.695 E099.43.01.071
           N012.43.59.000 E099.42.54.000 N012.57.33.000 E099.40.59.000 
           N012.23.32.000 E099.53.04.000 N012.13.04.000 E099.56.11.000 
           N012.24.58.000 E100.04.32.000 N012.14.13.000 E100.04.43.000 
           N012.52.22.000 E100.17.58.000 N012.41.17.000 E100.12.02.000 
