;HUA HIN CONTROL ZONE
VTPH_CTR   N012.48.03.909 E099.57.14.738 N012.47.52.969 E099.59.01.402 
           N012.47.52.969 E099.59.01.402 N012.47.24.123 E100.00.44.491 
           N012.47.24.123 E100.00.44.491 N012.46.38.248 E100.02.20.869 
           N012.46.38.248 E100.02.20.869 N012.45.36.741 E100.03.47.603 
           N012.45.36.741 E100.03.47.603 N012.44.21.474 E100.05.02.055 
           N012.44.21.474 E100.05.02.055 N012.42.54.736 E100.06.01.965 
           N012.42.54.736 E100.06.01.965 N012.41.19.166 E100.06.45.513 
           N012.41.19.166 E100.06.45.513 N012.39.37.670 E100.07.11.381 
           N012.39.37.670 E100.07.11.381 N012.37.53.333 E100.07.18.789 
           N012.37.53.333 E100.07.18.789 N012.36.09.326 E100.07.07.517 
           N012.36.09.326 E100.07.07.517 N012.34.28.809 E100.06.37.915 
           N012.34.28.809 E100.06.37.915 N012.32.54.834 E100.05.50.886 
           N012.32.54.834 E100.05.50.886 N012.31.30.254 E100.04.47.865 
           N012.31.30.254 E100.04.47.865 N012.30.17.635 E100.03.30.767 
           N012.30.17.635 E100.03.30.767 N012.29.19.182 E100.02.01.935 
           N012.29.19.182 E100.02.01.935 N012.28.36.668 E100.00.24.066 
           N012.28.36.668 E100.00.24.066 N012.28.11.382 E099.58.40.128 
           N012.28.11.382 E099.58.40.128 N012.28.04.091 E099.56.53.276 
           N012.28.04.091 E099.56.53.276 N012.28.15.017 E099.55.06.748 
           N012.28.15.017 E099.55.06.748 N012.28.43.827 E099.53.23.777 
           N012.28.43.827 E099.53.23.777 N012.29.29.648 E099.51.47.485 
           N012.29.29.648 E099.51.47.485 N012.30.31.090 E099.50.20.794 
           N012.30.31.090 E099.50.20.794 N012.31.46.290 E099.49.06.337 
           N012.31.46.290 E099.49.06.337 N012.33.12.965 E099.48.06.375 
           N012.33.12.965 E099.48.06.375 N012.34.48.485 E099.47.22.734 
           N012.34.48.485 E099.47.22.734 N012.36.29.949 E099.46.56.743 
           N012.36.29.949 E099.46.56.743 N012.38.14.276 E099.46.49.197 
           N012.38.14.276 E099.46.49.197 N012.39.58.297 E099.47.00.333 
           N012.39.58.297 E099.47.00.333 N012.41.38.850 E099.47.29.817 
           N012.41.38.850 E099.47.29.817 N012.43.12.879 E099.48.16.760 
           N012.43.12.879 E099.48.16.760 N012.44.37.524 E099.49.19.738 
           N012.44.37.524 E099.49.19.738 N012.45.50.210 E099.50.36.841 
           N012.45.50.210 E099.50.36.841 N012.46.48.726 E099.52.05.725 
           N012.46.48.726 E099.52.05.725 N012.47.31.290 E099.53.43.688 
           N012.47.31.290 E099.53.43.688 N012.47.56.608 E099.55.27.748 
           N012.47.56.608 E099.55.27.748 N012.48.04.000 E099.57.04.000 
