;BANGKOK CONTROL ZONE
VTBD_CTR   N014.29.51.679 E100.36.57.855 N014.29.13.319 E100.43.13.851 
           N014.29.13.319 E100.43.13.851 N014.27.32.174 E100.49.17.177 
           N014.27.32.174 E100.49.17.177 N014.24.51.339 E100.54.56.720 
           N014.24.51.339 E100.54.56.720 N014.21.15.736 E101.00.02.108 
           N014.21.15.736 E101.00.02.108 N014.16.51.957 E101.04.24.038 
           N014.16.51.957 E101.04.24.038 N014.11.48.058 E101.07.54.556 
           N014.11.48.058 E101.07.54.556 N014.06.13.313 E101.10.27.301 
           N014.06.13.313 E101.10.27.301 N014.00.17.922 E101.11.57.690 
           N014.00.17.922 E101.11.57.690 N013.54.12.703 E101.12.23.056 
           N013.54.12.703 E101.12.23.056 N013.48.08.757 E101.11.42.713 
           N013.48.08.757 E101.11.42.713 N013.42.17.132 E101.09.57.969 
           N013.42.17.132 E101.09.57.969 N013.36.48.490 E101.07.12.077 
           N013.36.48.490 E101.07.12.077 N013.31.52.784 E101.03.30.128 
           N013.31.52.784 E101.03.30.128 N013.27.38.958 E100.58.58.889 
           N013.27.38.958 E100.58.58.889 N013.24.14.685 E100.53.46.597 
           N013.24.14.685 E100.53.46.597 N013.21.46.135 E100.48.02.708 
           N013.21.46.135 E100.48.02.708 N013.20.17.791 E100.41.57.614 
           N013.20.17.791 E100.41.57.614 N013.19.52.319 E100.35.42.336 
           N013.19.52.319 E100.35.42.336 N013.20.30.488 E100.29.28.193 
           N013.20.30.488 E100.29.28.193 N013.22.11.146 E100.23.26.474 
           N013.22.11.146 E100.23.26.474 N013.24.51.256 E100.17.48.099 
           N013.24.51.256 E100.17.48.099 N013.28.25.984 E100.12.43.296 
           N013.28.25.984 E100.12.43.296 N013.32.48.844 E100.08.21.300 
           N013.32.48.844 E100.08.21.300 N013.37.51.890 E100.04.50.072 
           N013.37.51.890 E100.04.50.072 N013.43.25.952 E100.02.16.059 
           N013.43.25.952 E100.02.16.059 N013.49.20.911 E100.00.43.996 
           N013.49.20.911 E100.00.43.996 N013.55.26.002 E100.00.16.753 
           N013.55.26.002 E100.00.16.753 N014.01.30.139 E100.00.55.243 
           N014.01.30.139 E100.00.55.243 N014.07.22.251 E100.02.38.380 
           N014.07.22.251 E100.02.38.380 N014.12.51.618 E100.05.23.105 
           N014.12.51.618 E100.05.23.105 N014.17.48.199 E100.09.04.468 
           N014.17.48.199 E100.09.04.468 N014.22.02.944 E100.13.35.773 
           N014.22.02.944 E100.13.35.773 N014.25.28.070 E100.18.48.775 
           N014.25.28.070 E100.18.48.775 N014.27.57.304 E100.24.33.932 
           N014.27.57.304 E100.24.33.932 N014.29.26.080 E100.30.40.700 
; Closing DME Arc
           N014.29.26.080 E100.30.40.700 N014.29.52.000 E100.36.20.000 
;===== DME ARC - End
