;CHIANG RAI CTR
VTCT_CTR   N020.06.53.559 E099.53.11.272 N020.06.50.360 E099.54.06.911 
           N020.06.50.360 E099.54.06.911 N020.06.42.615 E099.55.02.039 
           N020.06.42.615 E099.55.02.039 N020.06.30.383 E099.55.56.238 
           N020.06.30.383 E099.55.56.238 N020.06.13.757 E099.56.49.091 
           N020.06.13.757 E099.56.49.091 N020.05.52.865 E099.57.40.197 
           N020.05.52.865 E099.57.40.197 N020.05.27.866 E099.58.29.166 
           N020.05.27.866 E099.58.29.166 N020.04.58.950 E099.59.15.623 
           N020.04.58.950 E099.59.15.623 N020.04.26.339 E099.59.59.215 
           N020.04.26.339 E099.59.59.215 N020.03.50.281 E100.00.39.610 
           N020.03.50.281 E100.00.39.610 N020.03.11.050 E100.01.16.500 
           N020.03.11.050 E100.01.16.500 N020.02.28.948 E100.01.49.605 
           N020.02.28.948 E100.01.49.605 N020.01.44.293 E100.02.18.673 
           N020.01.44.293 E100.02.18.673 N020.00.57.427 E100.02.43.484 
           N020.00.57.427 E100.02.43.484 N020.00.08.707 E100.03.03.849 
           N020.00.08.707 E100.03.03.849 N019.59.18.505 E100.03.19.615 
           N019.59.18.505 E100.03.19.615 N019.58.27.202 E100.03.30.662 
           N019.58.27.202 E100.03.30.662 N019.57.35.189 E100.03.36.909 
           N019.57.35.189 E100.03.36.909 N019.56.42.862 E100.03.38.308 
           N019.56.42.862 E100.03.38.308 N019.55.50.620 E100.03.34.850 
           N019.55.50.620 E100.03.34.850 N019.54.58.860 E100.03.26.563 
           N019.54.58.860 E100.03.26.563 N019.54.07.975 E100.03.13.512 
           N019.54.07.975 E100.03.13.512 N019.53.18.354 E100.02.55.796 
           N019.53.18.354 E100.02.55.796 N019.52.30.372 E100.02.33.552 
           N019.52.30.372 E100.02.33.552 N019.51.44.395 E100.02.06.950 
           N019.51.44.395 E100.02.06.950 N019.51.00.772 E100.01.36.193 
           N019.51.00.772 E100.01.36.193 N019.50.19.835 E100.01.01.516 
           N019.50.19.835 E100.01.01.516 N019.49.41.894 E100.00.23.182 
           N019.49.41.894 E100.00.23.182 N019.49.07.237 E099.59.41.485 
           N019.49.07.237 E099.59.41.485 N019.48.36.129 E099.58.56.740 
           N019.48.36.129 E099.58.56.740 N019.48.08.804 E099.58.09.288 
           N019.48.08.804 E099.58.09.288 N019.47.45.471 E099.57.19.489 
           N019.47.45.471 E099.57.19.489 N019.47.26.305 E099.56.27.722 
           N019.47.26.305 E099.56.27.722 N019.47.11.454 E099.55.34.380 
           N019.47.11.454 E099.55.34.380 N019.47.01.029 E099.54.39.868 
           N019.47.01.029 E099.54.39.868 N019.46.55.110 E099.53.44.599 
           N019.46.55.110 E099.53.44.599 N019.46.53.741 E099.52.48.992 
           N019.46.53.741 E099.52.48.992 N019.46.56.933 E099.51.53.470 
           N019.46.56.933 E099.51.53.470 N019.47.04.662 E099.50.58.453 
           N019.47.04.662 E099.50.58.453 N019.47.16.869 E099.50.04.359 
           N019.47.16.869 E099.50.04.359 N019.47.33.461 E099.49.11.599 
           N019.47.33.461 E099.49.11.599 N019.47.54.313 E099.48.20.574 
           N019.47.54.313 E099.48.20.574 N019.48.19.266 E099.47.31.669 
           N019.48.19.266 E099.47.31.669 N019.48.48.131 E099.46.45.258 
           N019.48.48.131 E099.46.45.258 N019.49.20.688 E099.46.01.692 
           N019.49.20.688 E099.46.01.692 N019.49.56.692 E099.45.21.303 
           N019.49.56.692 E099.45.21.303 N019.50.35.867 E099.44.44.399 
           N019.50.35.867 E099.44.44.399 N019.51.17.917 E099.44.11.260 
           N019.51.17.917 E099.44.11.260 N019.52.02.522 E099.43.42.138 
           N019.52.02.522 E099.43.42.138 N019.52.49.344 E099.43.17.257 
           N019.52.49.344 E099.43.17.257 N019.53.38.026 E099.42.56.806 
           N019.53.38.026 E099.42.56.806 N019.54.28.199 E099.42.40.941 
           N019.54.28.199 E099.42.40.941 N019.55.19.481 E099.42.29.786 
           N019.55.19.481 E099.42.29.786 N019.56.11.481 E099.42.23.425 
           N019.56.11.481 E099.42.23.425 N019.57.03.805 E099.42.21.909 
           N019.57.03.805 E099.42.21.909 N019.57.56.054 E099.42.25.250 
           N019.57.56.054 E099.42.25.250 N019.58.47.830 E099.42.33.424 
           N019.58.47.830 E099.42.33.424 N019.59.38.739 E099.42.46.371 
           N019.59.38.739 E099.42.46.371 N020.00.28.394 E099.43.03.993 
           N020.00.28.394 E099.43.03.993 N020.01.16.416 E099.43.26.157 
           N020.01.16.416 E099.43.26.157 N020.02.02.440 E099.43.52.695 
           N020.02.02.440 E099.43.52.695 N020.02.46.113 E099.44.23.406 
           N020.02.46.113 E099.44.23.406 N020.03.27.105 E099.44.58.057 
           N020.03.27.105 E099.44.58.057 N020.04.05.101 E099.45.36.384 
           N020.04.05.101 E099.45.36.384 N020.04.39.812 E099.46.18.096 
           N020.04.39.812 E099.46.18.096 N020.05.10.973 E099.47.02.875 
           N020.05.10.973 E099.47.02.875 N020.05.38.347 E099.47.50.381 
           N020.05.38.347 E099.47.50.381 N020.06.01.725 E099.48.40.250 
           N020.06.01.725 E099.48.40.250 N020.06.20.927 E099.49.32.103 
           N020.06.20.927 E099.49.32.103 N020.06.35.809 E099.50.25.543 
           N020.06.35.809 E099.50.25.543 N020.06.46.255 E099.51.20.164 
           N020.06.46.255 E099.51.20.164 N020.06.52.187 E099.52.15.548 
; Closing DME Arc
           N020.06.52.187 E099.52.15.548 N020.06.53.559 E099.52.48.968 
;===== DME ARC - End
