;KAMPHAENG SAEN CONTROL ZONE
VTBK_CTR   N014.30.21.771 E099.55.23.040 N014.29.54.390 E099.59.51.625 
           N014.29.54.390 E099.59.51.625 N014.28.42.193 E100.04.11.179 
           N014.28.42.193 E100.04.11.179 N014.26.47.384 E100.08.13.777 
           N014.26.47.384 E100.08.13.777 N014.24.13.470 E100.11.52.021 
           N014.24.13.470 E100.11.52.021 N014.21.05.148 E100.14.59.265 
           N014.21.05.148 E100.14.59.265 N014.17.28.161 E100.17.29.823 
           N014.17.28.161 E100.17.29.823 N014.13.29.124 E100.19.19.138 
           N014.13.29.124 E100.19.19.138 N014.09.15.314 E100.20.23.919 
           N014.09.15.314 E100.20.23.919 N014.04.54.453 E100.20.42.238 
           N014.04.54.453 E100.20.42.238 N014.00.34.470 E100.20.13.581 
           N014.00.34.470 E100.20.13.581 N013.56.23.260 E100.18.58.863 
           N013.56.23.260 E100.18.58.863 N013.52.28.443 E100.17.00.390 
           N013.52.28.443 E100.17.00.390 N013.48.57.138 E100.14.21.789 
           N013.48.57.138 E100.14.21.789 N013.45.55.744 E100.11.07.891 
           N013.45.55.744 E100.11.07.891 N013.43.29.752 E100.07.24.585 
           N013.43.29.752 E100.07.24.585 N013.41.43.579 E100.03.18.639 
           N013.41.43.579 E100.03.18.639 N013.40.40.434 E099.58.57.498 
           N013.40.40.434 E099.58.57.498 N013.40.22.228 E099.54.29.058 
           N013.40.22.228 E099.54.29.058 N013.40.49.510 E099.50.01.432 
           N013.40.49.510 E099.50.01.432 N013.42.01.455 E099.45.42.710 
           N013.42.01.455 E099.45.42.710 N013.43.55.889 E099.41.40.715 
           N013.43.55.889 E099.41.40.715 N013.46.29.352 E099.38.02.775 
           N013.46.29.352 E099.38.02.775 N013.49.37.199 E099.34.55.496 
           N013.49.37.199 E099.34.55.496 N013.53.13.744 E099.32.24.571 
           N013.53.13.744 E099.32.24.571 N013.57.12.429 E099.30.34.600 
           N013.57.12.429 E099.30.34.600 N014.01.26.015 E099.29.28.953 
           N014.01.26.015 E099.29.28.953 N014.05.46.810 E099.29.09.664 
           N014.05.46.810 E099.29.09.664 N014.10.06.892 E099.29.37.361 
           N014.10.06.892 E099.29.37.361 N014.14.18.354 E099.30.51.248 
           N014.14.18.354 E099.30.51.248 N014.18.13.545 E099.32.49.118 
           N014.18.13.545 E099.32.49.118 N014.21.45.303 E099.35.27.416 
           N014.21.45.303 E099.35.27.416 N014.24.47.172 E099.38.41.348 
           N014.24.47.172 E099.38.41.348 N014.27.13.605 E099.42.25.021 
           N014.27.13.605 E099.42.25.021 N014.29.00.131 E099.46.31.623 
           N014.29.00.131 E099.46.31.623 N014.30.03.499 E099.50.53.629 
; Closing DME Arc
           N014.30.03.499 E099.50.53.629 N014.30.21.771 E099.54.28.960 
;===== DME ARC - End
