;PHITSANULOK CTR
VTPP_CTR   N017.01.13.203 E100.17.45.127 N017.00.56.783 E100.20.28.289 
           N017.00.56.783 E100.20.28.289 N017.00.13.486 E100.23.05.974 
           N017.00.13.486 E100.23.05.974 N016.59.04.633 E100.25.33.373 
           N016.59.04.633 E100.25.33.373 N016.57.32.323 E100.27.45.996 
           N016.57.32.323 E100.27.45.996 N016.55.39.370 E100.29.39.807 
           N016.55.39.370 E100.29.39.807 N016.53.29.215 E100.31.11.349 
           N016.53.29.215 E100.31.11.349 N016.51.05.821 E100.32.17.848 
           N016.51.05.821 E100.32.17.848 N016.48.33.553 E100.32.57.296 
           N016.48.33.553 E100.32.57.296 N016.45.57.041 E100.33.08.513 
           N016.45.57.041 E100.33.08.513 N016.43.21.042 E100.32.51.177 
           N016.43.21.042 E100.32.51.177 N016.40.50.294 E100.32.05.832 
           N016.40.50.294 E100.32.05.832 N016.38.29.372 E100.30.53.874 
           N016.38.29.372 E100.30.53.874 N016.36.22.551 E100.29.17.501 
           N016.36.22.551 E100.29.17.501 N016.34.33.675 E100.27.19.646 
           N016.34.33.675 E100.27.19.646 N016.33.06.044 E100.25.03.889 
           N016.33.06.044 E100.25.03.889 N016.32.02.311 E100.22.34.349 
           N016.32.02.311 E100.22.34.349 N016.31.24.406 E100.19.55.555 
           N016.31.24.406 E100.19.55.555 N016.31.13.477 E100.17.12.317 
           N016.31.13.477 E100.17.12.317 N016.31.29.854 E100.14.29.574 
           N016.31.29.854 E100.14.29.574 N016.32.13.042 E100.11.52.253 
           N016.32.13.042 E100.11.52.253 N016.33.21.733 E100.09.25.118 
           N016.33.21.733 E100.09.25.118 N016.34.53.848 E100.07.12.628 
           N016.34.53.848 E100.07.12.628 N016.36.46.596 E100.05.18.802 
           N016.36.46.596 E100.05.18.802 N016.38.56.560 E100.03.47.099 
           N016.38.56.560 E100.03.47.099 N016.41.19.801 E100.02.40.313 
           N016.41.19.801 E100.02.40.313 N016.43.51.972 E100.02.00.486 
           N016.43.51.972 E100.02.00.486 N016.46.28.456 E100.01.48.844 
           N016.46.28.456 E100.01.48.844 N016.49.04.497 E100.02.05.760 
           N016.49.04.497 E100.02.05.760 N016.51.35.354 E100.02.50.741 
           N016.51.35.354 E100.02.50.741 N016.53.56.438 E100.04.02.434 
           N016.53.56.438 E100.04.02.434 N016.56.03.455 E100.05.38.675 
           N016.56.03.455 E100.05.38.675 N016.57.52.536 E100.07.36.545 
           N016.57.52.536 E100.07.36.545 N016.59.20.358 E100.09.52.463 
           N016.59.20.358 E100.09.52.463 N017.00.24.244 E100.12.22.290 
           N017.00.24.244 E100.12.22.290 N017.01.02.245 E100.15.01.463 
; Closing DME Arc
           N017.01.02.245 E100.15.01.463 N017.01.13.203 E100.17.12.273 
;===== DME ARC - End
