;PHITSANULOK TMA
VTPP_TMA   N017.16.13.065 E100.18.01.597 N017.15.40.182 E100.23.28.350 
           N017.15.40.182 E100.23.28.350 N017.14.13.477 E100.28.44.089 
           N017.14.13.477 E100.28.44.089 N017.11.55.607 E100.33.39.154 
           N017.11.55.607 E100.33.39.154 N017.08.50.789 E100.38.04.532 
           N017.08.50.789 E100.38.04.532 N017.05.04.676 E100.41.52.135 
           N017.05.04.676 E100.41.52.135 N017.00.44.176 E100.44.55.053 
           N017.00.44.176 E100.44.55.053 N016.55.57.238 E100.47.07.758 
           N016.55.57.238 E100.47.07.758 N016.50.52.609 E100.48.26.273 
           N016.50.52.609 E100.48.26.273 N016.45.39.560 E100.48.48.280 
           N016.45.39.560 E100.48.48.280 N016.40.27.609 E100.48.13.189 
           N016.40.27.609 E100.48.13.189 N016.35.26.224 E100.46.42.141 
           N016.35.26.224 E100.46.42.141 N016.30.44.543 E100.44.17.966 
           N016.30.44.543 E100.44.17.966 N016.26.31.096 E100.41.05.091 
           N016.26.31.096 E100.41.05.091 N016.22.53.549 E100.37.09.399 
           N016.22.53.549 E100.37.09.399 N016.19.58.474 E100.32.38.047 
           N016.19.58.474 E100.32.38.047 N016.17.51.159 E100.27.39.250 
           N016.17.51.159 E100.27.39.250 N016.16.35.444 E100.22.22.035 
           N016.16.35.444 E100.22.22.035 N016.16.13.613 E100.16.55.975 
           N016.16.13.613 E100.16.55.975 N016.16.46.326 E100.11.30.902 
           N016.16.46.326 E100.11.30.902 N016.18.12.595 E100.06.16.619 
           N016.18.12.595 E100.06.16.619 N016.20.29.818 E100.01.22.611 
           N016.20.29.818 E100.01.22.611 N016.23.33.853 E099.56.57.764 
           N016.23.33.853 E099.56.57.764 N016.27.19.145 E099.53.10.100 
           N016.27.19.145 E099.53.10.100 N016.31.38.883 E099.50.06.540 
           N016.31.38.883 E099.50.06.540 N016.36.25.210 E099.47.52.685 
           N016.36.25.210 E099.47.52.685 N016.41.29.454 E099.46.32.655 
           N016.41.29.454 E099.46.32.655 N016.46.42.388 E099.46.08.948 
           N016.46.42.388 E099.46.08.948 N016.51.54.510 E099.46.42.359 
           N016.51.54.510 E099.46.42.359 N016.56.56.330 E099.48.11.951 
           N016.56.56.330 E099.48.11.951 N017.01.38.659 E099.50.35.069 
           N017.01.38.659 E099.50.35.069 N017.05.52.887 E099.53.47.413 
           N017.05.52.887 E099.53.47.413 N017.09.31.256 E099.57.43.165 
           N017.09.31.256 E099.57.43.165 N017.12.27.093 E100.02.15.160 
           N017.12.27.093 E100.02.15.160 N017.14.35.020 E100.07.15.106 
           N017.14.35.020 E100.07.15.106 N017.15.51.120 E100.12.33.837 
; Closing DME Arc
           N017.15.51.120 E100.12.33.837 N017.16.13.065 E100.16.55.803 
;===== DME ARC - End
