;CHIANG MAI TMA
VTCC_TMA   N018.48.32.290 E099.23.53.720 N018.48.04.790 E099.37.40.730
           N018.14.44.640 E098.34.40.270 N018.46.04.430 E098.47.48.530
           N018.46.04.430 E098.47.48.530 N018.53.55.530 E098.32.39.890
           N018.53.14.886 E098.32.24.461 N018.57.17.536 E098.34.07.414 
           N018.57.17.536 E098.34.07.414 N019.00.59.562 E098.36.33.447 
           N019.00.59.562 E098.36.33.447 N019.04.14.191 E098.39.38.151 
           N019.04.14.191 E098.39.38.151 N019.06.55.480 E098.43.15.921 
           N019.06.55.480 E098.43.15.921 N019.08.58.500 E098.47.20.127 
           N019.08.58.500 E098.47.20.127 N019.10.19.488 E098.51.43.313 
           N019.10.19.488 E098.51.43.313 N019.10.55.967 E098.56.17.432 
           N019.10.55.967 E098.56.17.432 N019.10.46.819 E099.00.54.096 
           N019.10.46.819 E099.00.54.096 N019.09.52.325 E099.05.24.835 
           N019.09.52.325 E099.05.24.835 N019.08.14.153 E099.09.41.366 
           N019.08.14.153 E099.09.41.366 N019.05.55.305 E099.13.35.851 
           N019.05.55.305 E099.13.35.851 N019.03.00.028 E099.17.01.137 
           N019.03.00.028 E099.17.01.137 N018.59.33.676 E099.19.50.982 
           N018.59.33.676 E099.19.50.982 N018.55.42.549 E099.22.00.241 
           N018.55.42.549 E099.22.00.241 N018.51.33.691 E099.23.25.021 
; Closing DME Arc
           N018.51.33.691 E099.23.25.021 N018.48.59.004 E099.23.53.430 
           N018.47.53.081 E099.37.45.722 N018.41.15.956 E099.37.29.509 
           N018.41.15.956 E099.37.29.509 N018.34.47.522 E099.36.00.814 
           N018.34.47.522 E099.36.00.814 N018.28.39.553 E099.33.22.461 
           N018.28.39.553 E099.33.22.461 N018.23.03.183 E099.29.39.359 
           N018.23.03.183 E099.29.39.359 N018.18.08.571 E099.24.58.343 
           N018.18.08.571 E099.24.58.343 N018.14.04.605 E099.19.27.964 
           N018.14.04.605 E099.19.27.964 N018.10.58.632 E099.13.18.225 
           N018.10.58.632 E099.13.18.225 N018.08.56.251 E099.06.40.280 
           N018.08.56.251 E099.06.40.280 N018.08.01.141 E098.59.46.110 
           N018.08.01.141 E098.59.46.110 N018.08.14.960 E098.52.48.166 
           N018.08.14.960 E098.52.48.166 N018.09.37.292 E098.45.59.010 
           N018.09.37.292 E098.45.59.010 N018.12.05.662 E098.39.30.948 
; Closing DME Arc
           N018.12.05.662 E098.39.30.948 N018.14.26.500 E098.35.18.152 
