;Chiang Mai Control Zone
VTCC_CTR   N018.55.16.400 E098.57.54.600 N019.12.04.300 E099.10.48.500
           N019.06.40.400 E099.18.48.400 N018.49.04.400 E099.07.18.500
           N018.49.04.400 E099.07.18.500 N018.49.58.400 E099.17.54.400
           N018.32.16.500 E098.42.48.700 N018.46.04.400 E098.47.48.700
           N018.45.57.766 E098.47.44.884 N018.46.46.924 E098.47.47.103 
           N018.46.46.924 E098.47.47.103 N018.47.35.711 E098.47.53.839 
           N018.47.35.711 E098.47.53.839 N018.48.23.757 E098.48.05.043 
           N018.48.23.757 E098.48.05.043 N018.49.10.696 E098.48.20.629 
           N018.49.10.696 E098.48.20.629 N018.49.56.169 E098.48.40.481 
           N018.49.56.169 E098.48.40.481 N018.50.39.831 E098.49.04.448 
           N018.50.39.831 E098.49.04.448 N018.51.21.349 E098.49.32.349 
           N018.51.21.349 E098.49.32.349 N018.52.00.406 E098.50.03.970 
           N018.52.00.406 E098.50.03.970 N018.52.36.705 E098.50.39.073 
           N018.52.36.705 E098.50.39.073 N018.53.09.969 E098.51.17.390 
           N018.53.09.969 E098.51.17.390 N018.53.39.943 E098.51.58.629 
           N018.53.39.943 E098.51.58.629 N018.54.06.401 E098.52.42.477 
           N018.54.06.401 E098.52.42.477 N018.54.29.139 E098.53.28.598 
           N018.54.29.139 E098.53.28.598 N018.54.47.984 E098.54.16.642 
           N018.54.47.984 E098.54.16.642 N018.55.02.793 E098.55.06.242 
           N018.55.02.793 E098.55.06.242 N018.55.13.452 E098.55.57.019 
           N018.55.13.452 E098.55.57.019 N018.55.19.880 E098.56.48.586 
           N018.55.19.880 E098.56.48.586 N018.55.22.028 E098.57.40.550 
; Closing DME Arc
           N018.55.22.028 E098.57.40.550 N018.55.21.942 E098.57.50.955 
           N019.11.47.380 E099.10.25.769 N019.10.38.324 E099.12.45.777 
           N019.10.38.324 E099.12.45.777 N019.09.17.979 E099.14.58.844 
           N019.09.17.979 E099.14.58.844 N019.07.46.961 E099.17.03.954 
; Closing DME Arc
           N019.07.46.961 E099.17.03.954 N019.06.26.928 E099.18.37.669 
           N018.50.06.385 E099.18.20.738 N018.46.38.723 E099.18.47.238 
           N018.46.38.723 E099.18.47.238 N018.43.09.858 E099.18.35.244 
           N018.43.09.858 E099.18.35.244 N018.39.46.137 E099.17.45.158 
           N018.39.46.137 E099.17.45.158 N018.36.33.741 E099.16.18.539 
           N018.36.33.741 E099.16.18.539 N018.33.38.501 E099.14.18.044 
           N018.33.38.501 E099.14.18.044 N018.31.05.726 E099.11.47.350 
           N018.31.05.726 E099.11.47.350 N018.29.00.039 E099.08.51.037 
           N018.29.00.039 E099.08.51.037 N018.27.25.242 E099.05.34.453 
           N018.27.25.242 E099.05.34.453 N018.26.24.200 E099.02.03.546 
           N018.26.24.200 E099.02.03.546 N018.25.58.758 E098.58.24.694 
           N018.25.58.758 E098.58.24.694 N018.26.09.684 E098.54.44.508 
           N018.26.09.684 E098.54.44.508 N018.26.56.648 E098.51.09.641 
           N018.26.56.648 E098.51.09.641 N018.28.18.231 E098.47.46.586 
           N018.28.18.231 E098.47.46.586 N018.30.11.968 E098.44.41.485 
; Closing DME Arc
           N018.30.11.968 E098.44.41.485 N018.31.48.910 E098.42.45.628 
;===== DME ARC - End
