;SAMUI CTR
VTSM_CTR   N009.43.14.009 E100.03.46.274 N009.43.03.071 E100.05.31.802 
           N009.43.03.071 E100.05.31.802 N009.42.34.229 E100.07.13.795 
           N009.42.34.229 E100.07.13.795 N009.41.48.361 E100.08.49.152 
           N009.41.48.361 E100.08.49.152 N009.40.46.862 E100.10.14.970 
           N009.40.46.862 E100.10.14.970 N009.39.31.603 E100.11.28.642 
           N009.39.31.603 E100.11.28.642 N009.38.04.873 E100.12.27.930 
           N009.38.04.873 E100.12.27.930 N009.36.29.309 E100.13.11.032 
           N009.36.29.309 E100.13.11.032 N009.34.47.817 E100.13.36.644 
           N009.34.47.817 E100.13.36.644 N009.33.03.482 E100.13.43.991 
           N009.33.03.482 E100.13.43.991 N009.31.19.473 E100.13.32.855 
           N009.31.19.473 E100.13.32.855 N009.29.38.952 E100.13.03.577 
           N009.29.38.952 E100.13.03.577 N009.28.04.970 E100.12.17.053 
           N009.28.04.970 E100.12.17.053 N009.26.40.381 E100.11.14.698 
           N009.26.40.381 E100.11.14.698 N009.25.27.755 E100.09.58.408 
           N009.25.27.755 E100.09.58.408 N009.24.29.294 E100.08.30.502 
           N009.24.29.294 E100.08.30.502 N009.23.46.773 E100.06.53.647 
           N009.23.46.773 E100.06.53.647 N009.23.21.483 E100.05.10.785 
           N009.23.21.483 E100.05.10.785 N009.23.14.191 E100.03.25.036 
           N009.23.14.191 E100.03.25.036 N009.23.25.118 E100.01.39.610 
           N009.23.25.118 E100.01.39.610 N009.23.53.933 E099.59.57.704 
           N009.23.53.933 E099.59.57.704 N009.24.39.761 E099.58.22.411 
           N009.24.39.761 E099.58.22.411 N009.25.41.211 E099.56.56.625 
           N009.25.41.211 E099.56.56.625 N009.26.56.419 E099.55.42.949 
           N009.26.56.419 E099.55.42.949 N009.28.23.102 E099.54.43.623 
           N009.28.23.102 E099.54.43.623 N009.29.58.628 E099.54.00.451 
           N009.29.58.628 E099.54.00.451 N009.31.40.096 E099.53.34.748 
           N009.31.40.096 E099.53.34.748 N009.33.24.425 E099.53.27.298 
           N009.33.24.425 E099.53.27.298 N009.35.08.444 E099.53.38.334 
           N009.35.08.444 E099.53.38.334 N009.36.48.992 E099.54.07.523 
           N009.36.48.992 E099.54.07.523 N009.38.23.015 E099.54.53.984 
           N009.38.23.015 E099.54.53.984 N009.39.47.651 E099.55.56.307 
           N009.39.47.651 E099.55.56.307 N009.41.00.329 E099.57.12.600 
           N009.41.00.329 E099.57.12.600 N009.41.58.837 E099.58.40.546 
           N009.41.58.837 E099.58.40.546 N009.42.41.395 E100.00.17.469 
           N009.42.41.395 E100.00.17.469 N009.43.06.709 E100.02.00.423 
; Closing DME Arc
           N009.43.06.709 E100.02.00.423 N009.43.14.100 E100.03.35.650 
;===== DME ARC - End
