;NAKHON SI THAMMARAT CONTROL ZONE
VTSF_CTR   N008.42.29.839 E099.56.59.254 N008.42.18.902 E099.58.44.479 
           N008.42.18.902 E099.58.44.479 N008.41.50.061 E100.00.26.182 
           N008.41.50.061 E100.00.26.182 N008.41.04.195 E100.02.01.267 
           N008.41.04.195 E100.02.01.267 N008.40.02.699 E100.03.26.842 
           N008.40.02.699 E100.03.26.842 N008.38.47.443 E100.04.40.308 
           N008.38.47.443 E100.04.40.308 N008.37.20.715 E100.05.39.431 
           N008.37.20.715 E100.05.39.431 N008.35.45.153 E100.06.22.416 
           N008.35.45.153 E100.06.22.416 N008.34.03.663 E100.06.47.961 
           N008.34.03.663 E100.06.47.961 N008.32.19.328 E100.06.55.293 
           N008.32.19.328 E100.06.55.293 N008.30.35.318 E100.06.44.193 
           N008.30.35.318 E100.06.44.193 N008.28.54.795 E100.06.15.003 
           N008.28.54.795 E100.06.15.003 N008.27.20.811 E100.05.28.612 
           N008.27.20.811 E100.05.28.612 N008.25.56.220 E100.04.26.434 
           N008.25.56.220 E100.04.26.434 N008.24.43.591 E100.03.10.358 
           N008.24.43.591 E100.03.10.358 N008.23.45.128 E100.01.42.697 
           N008.23.45.128 E100.01.42.697 N008.23.02.605 E100.00.06.111 
           N008.23.02.605 E100.00.06.111 N008.22.37.314 E099.58.23.533 
           N008.22.37.314 E099.58.23.533 N008.22.30.021 E099.56.38.076 
           N008.22.30.021 E099.56.38.076 N008.22.40.949 E099.54.52.940 
           N008.22.40.949 E099.54.52.940 N008.23.09.765 E099.53.11.316 
           N008.23.09.765 E099.53.11.316 N008.23.55.595 E099.51.36.287 
           N008.23.55.595 E099.51.36.287 N008.24.57.048 E099.50.10.740 
           N008.24.57.048 E099.50.10.740 N008.26.12.259 E099.48.57.272 
           N008.26.12.259 E099.48.57.272 N008.27.38.944 E099.47.58.114 
           N008.27.38.944 E099.47.58.114 N008.29.14.472 E099.47.15.067 
           N008.29.14.472 E099.47.15.067 N008.30.55.942 E099.46.49.441 
           N008.30.55.942 E099.46.49.441 N008.32.40.270 E099.46.42.018 
           N008.32.40.270 E099.46.42.018 N008.34.24.289 E099.46.53.028 
           N008.34.24.289 E099.46.53.028 N008.36.04.836 E099.47.22.140 
           N008.36.04.836 E099.47.22.140 N008.37.38.856 E099.48.08.474 
           N008.37.38.856 E099.48.08.474 N008.39.03.490 E099.49.10.623 
           N008.39.03.490 E099.49.10.623 N008.40.16.165 E099.50.26.702 
           N008.40.16.165 E099.50.26.702 N008.41.14.671 E099.51.54.399 
           N008.41.14.671 E099.51.54.399 N008.41.57.227 E099.53.31.046 
           N008.41.57.227 E099.53.31.046 N008.42.22.540 E099.55.13.705 
; Closing DME Arc
           N008.42.22.540 E099.55.13.705 N008.42.29.930 E099.56.48.660 
;===== DME ARC - End
