;BANGKOK TMA
VTBD_TMA   N013.41.08.590 E100.44.56.240 N014.33.41.000 E101.05.05.000
           N014.33.41.000 E101.05.05.000 N014.35.17.148 E101.06.42.057 
           N014.35.17.148 E101.06.42.057 N014.29.33.133 E101.13.28.909 
           N014.29.33.133 E101.13.28.909 N014.22.45.816 E101.19.07.523 
           N014.22.45.816 E101.19.07.523 N014.15.07.657 E101.23.27.656 
           N014.15.07.657 E101.23.27.656 N014.06.52.649 E101.26.21.503 
           N014.06.52.649 E101.26.21.503 N013.58.15.882 E101.27.43.928 
           N013.58.15.882 E101.27.43.928 N013.49.33.082 E101.27.32.595 
           N013.49.33.082 E101.27.32.595 N013.41.00.126 E101.25.48.022 
           N013.41.00.126 E101.25.48.022 N013.32.52.565 E101.22.33.544 
           N013.32.52.565 E101.22.33.544 N013.25.25.155 E101.17.55.193 
           N013.25.25.155 E101.17.55.193 N013.18.51.416 E101.12.01.499 
           N013.18.51.416 E101.12.01.499 N013.13.23.229 E101.05.03.228 
           N013.13.23.229 E101.05.03.228 N013.09.10.488 E100.57.13.047 
           N013.09.10.488 E100.57.13.047 N013.07.55.000 E100.53.18.000  
           N013.41.08.590 E100.44.56.240 N013.07.55.000 E100.53.18.000  
           N013.07.55.000 E100.53.18.000 N013.07.34.884 E100.53.02.877 
           N013.07.34.884 E100.53.02.877 N013.05.28.806 E100.44.21.809 
           N013.05.28.806 E100.44.21.809 N013.04.52.455 E100.35.26.250 
           N013.04.52.455 E100.35.26.250 N013.05.46.926 E100.26.32.307 
           N013.05.46.926 E100.26.32.307 N013.08.10.580 E100.17.56.041 
           N013.08.10.580 E100.17.56.041 N013.11.59.093 E100.09.52.996 
           N013.11.59.093 E100.09.52.996 N013.16.26.000 E100.06.14.000 
           N013.16.26.000 E100.06.14.000 N013.41.08.590 E100.44.56.240
           N013.16.26.000 E100.06.14.000 N013.14.54.172 E100.05.25.231 
           N013.14.54.172 E100.05.25.231 N013.20.43.159 E099.58.45.082 
           N013.20.43.159 E099.58.45.082 N013.27.34.329 E099.53.12.957 
           N013.27.34.329 E099.53.12.957 N013.35.15.268 E099.48.58.981 
           N013.35.15.268 E099.48.58.981 N013.43.32.042 E099.46.10.961 
           N013.43.32.042 E099.46.10.961 N013.52.09.609 E099.44.54.137 
           N013.52.09.609 E099.44.54.137 N014.00.52.268 E099.45.11.006 
           N014.00.52.268 E099.45.11.006 N014.09.24.139 E099.47.01.232 
           N014.09.24.139 E099.47.01.232 N014.17.29.635 E099.50.21.629 
           N014.17.29.635 E099.50.21.629 N014.24.53.949 E099.55.06.242 
           N014.24.53.949 E099.55.06.242 N014.31.23.504 E100.01.06.507 
           N014.31.23.504 E100.01.06.507 N014.36.46.377 E100.08.11.504 
           N014.36.46.377 E100.08.11.504 N014.38.46.000 E100.09.42.000 
           N014.38.46.000 E100.09.42.000 N013.41.08.580 E100.44.56.240
           N014.38.46.000 E100.09.42.000 N014.38.08.698 E100.10.29.735 
           N014.38.08.698 E100.10.29.735 N014.41.50.432 E100.18.39.263 
           N014.41.50.432 E100.18.39.263 N014.44.06.257 E100.27.21.359 
           N014.44.06.257 E100.27.21.359 N014.44.52.000 E100.36.20.000 
           N014.44.52.000 E100.36.20.000 N014.44.06.257 E100.45.18.641 
           N014.44.06.257 E100.45.18.641 N014.41.50.432 E100.54.00.737 
           N014.41.50.432 E100.54.00.737 N014.38.08.698 E101.02.10.265 
           N014.38.08.698 E101.02.10.265 N014.33.41.000 E101.05.05.000 
