;U-TAPAO TMA
VTBU_TMA   N013.30.58.422 E101.00.51.047 N013.30.42.391 E101.05.19.701 
           N013.30.42.391 E101.05.19.701 N013.30.03.578 E101.09.45.875 
           N013.30.03.578 E101.09.45.875 N013.29.02.283 E101.14.07.524 
           N013.29.02.283 E101.14.07.524 N013.27.38.976 E101.18.22.638 
           N013.27.38.976 E101.18.22.638 N013.25.54.297 E101.22.29.259 
           N013.25.54.297 E101.22.29.259 N013.23.49.052 E101.26.25.495 
           N013.23.49.052 E101.26.25.495 N013.21.24.200 E101.30.09.539 
           N013.21.24.200 E101.30.09.539 N013.18.40.856 E101.33.39.677 
           N013.18.40.856 E101.33.39.677 N013.15.40.271 E101.36.54.305 
           N013.15.40.271 E101.36.54.305 N013.12.23.829 E101.39.51.943 
           N013.12.23.829 E101.39.51.943 N013.08.53.037 E101.42.31.242 
           N013.08.53.037 E101.42.31.242 N013.05.09.508 E101.44.50.995 
           N013.05.09.508 E101.44.50.995 N013.01.14.951 E101.46.50.151 
           N013.01.14.951 E101.46.50.151 N012.57.11.160 E101.48.27.814 
           N012.57.11.160 E101.48.27.814 N012.52.59.996 E101.49.43.257 
           N012.52.59.996 E101.49.43.257 N012.48.43.375 E101.50.35.924 
           N012.48.43.375 E101.50.35.924 N012.44.23.255 E101.51.05.432 
           N012.44.23.255 E101.51.05.432 N012.40.01.617 E101.51.11.577 
           N012.40.01.617 E101.51.11.577 N012.35.40.451 E101.50.54.332 
           N012.35.40.451 E101.50.54.332 N012.31.21.744 E101.50.13.848 
           N012.31.21.744 E101.50.13.848 N012.27.07.462 E101.49.10.452 
           N012.27.07.462 E101.49.10.452 N012.22.59.535 E101.47.44.643 
           N012.22.59.535 E101.47.44.643 N012.18.59.843 E101.45.57.090 
           N012.18.59.843 E101.45.57.090 N012.15.10.204 E101.43.48.623 
           N012.15.10.204 E101.43.48.623 N012.11.32.357 E101.41.20.231 
           N012.11.32.357 E101.41.20.231 N012.08.07.952 E101.38.33.049 
           N012.08.07.952 E101.38.33.049 N012.04.58.534 E101.35.28.353 
           N012.04.58.534 E101.35.28.353 N012.02.05.535 E101.32.07.550 
           N012.02.05.535 E101.32.07.550 N011.59.30.263 E101.28.32.164 
           N011.59.30.263 E101.28.32.164 N011.57.13.892 E101.24.43.828 
           N011.57.13.892 E101.24.43.828 N011.55.17.450 E101.20.44.272 
           N011.55.17.450 E101.20.44.272 N011.53.41.816 E101.16.35.306 
           N011.53.41.816 E101.16.35.306 N011.52.27.712 E101.12.18.811 
           N011.52.27.712 E101.12.18.811 N011.51.35.698 E101.07.56.724 
           N011.51.35.698 E101.07.56.724 N011.51.06.165 E101.03.31.020 
           N011.51.06.165 E101.03.31.020 N011.50.59.335 E100.59.03.705 
           N011.50.59.335 E100.59.03.705 N011.51.15.262 E100.54.36.792 
           N011.51.15.262 E100.54.36.792 N011.51.53.824 E100.50.12.296 
           N011.51.53.824 E100.50.12.296 N011.52.54.731 E100.45.52.210 
           N011.52.54.731 E100.45.52.210 N011.54.17.523 E100.41.38.497 
           N011.54.17.523 E100.41.38.497 N011.56.01.575 E100.37.33.073 
           N011.56.01.575 E100.37.33.073 N011.58.06.103 E100.33.37.792 
           N011.58.06.103 E100.33.37.792 N012.00.30.167 E100.29.54.434 
           N012.00.30.167 E100.29.54.434 N012.03.12.677 E100.26.24.691 
           N012.03.12.677 E100.26.24.691 N012.06.12.408 E100.23.10.154 
           N012.06.12.408 E100.23.10.154 N012.09.28.000 E100.20.12.302 
           N012.09.28.000 E100.20.12.302 N012.12.57.973 E100.17.32.491 
           N012.12.57.973 E100.17.32.491 N012.16.40.740 E100.15.11.940 
           N012.16.40.740 E100.15.11.940 N012.20.34.614 E100.13.11.729 
           N012.20.34.614 E100.13.11.729 N012.24.37.822 E100.11.32.783 
           N012.24.37.822 E100.11.32.783 N012.28.48.520 E100.10.15.868 
           N012.28.48.520 E100.10.15.868 N012.33.04.806 E100.09.21.586 
           N012.33.04.806 E100.09.21.586 N012.37.24.733 E100.08.50.369 
           N012.37.24.733 E100.08.50.369 N012.41.46.327 E100.08.42.472 
           N012.41.46.327 E100.08.42.472 N012.46.07.597 E100.08.57.975 
           N012.46.07.597 E100.08.57.975 N012.50.26.554 E100.09.36.781 
           N012.50.26.554 E100.09.36.781 N012.54.41.224 E100.10.38.614 
           N012.54.41.224 E100.10.38.614 N012.58.49.667 E100.12.03.022 
           N012.58.49.667 E100.12.03.022 N013.02.49.984 E100.13.49.379 
           N013.02.49.984 E100.13.49.379 N013.06.40.341 E100.15.56.890 
           N013.06.40.341 E100.15.56.890 N013.10.18.975 E100.18.24.597 
           N013.10.18.975 E100.18.24.597 N013.13.44.215 E100.21.11.384 
           N013.13.44.215 E100.21.11.384 N013.16.54.488 E100.24.15.988 
           N013.16.54.488 E100.24.15.988 N013.19.48.336 E100.27.37.005 
           N013.19.48.336 E100.27.37.005 N013.22.24.426 E100.31.12.903 
           N013.22.24.426 E100.31.12.903 N013.24.41.560 E100.35.02.035 
           N013.24.41.560 E100.35.02.035 N013.26.38.686 E100.39.02.647 
           N013.26.38.686 E100.39.02.647 N013.28.14.903 E100.43.12.896 
           N013.28.14.903 E100.43.12.896 N013.29.29.473 E100.47.30.863 
           N013.29.29.473 E100.47.30.863 N013.30.21.822 E100.51.54.566 
           N013.30.21.822 E100.51.54.566 N013.30.51.548 E100.56.21.979 
; Closing DME Arc
           N013.30.51.548 E100.56.21.979 N013.30.58.880 E100.59.57.200 
