28LOC N019.55.32.131 E099.52.02.128
30PSL N016.47.14.049 E099.46.13.609
38VOR N016.31.27.681 E102.49.23.800
39VOR N009.28.56.398 E100.04.14.070
40VOR N006.56.19.550 E100.27.17.211
40VOR N010.40.54.490 E099.18.16.930
40VOR N016.49.17.929 E100.14.47.871
45DME N019.52.56.341 E099.50.41.701
45VOR N019.53.03.040 E099.50.29.569
50DME N016.32.42.511 E102.49.39.118
55DME N012.43.23.429 E099.55.33.949
60LO2 N013.45.57.690 E100.45.34.459
60LOC N013.36.32.079 E100.43.05.851
62LO2 N013.45.16.869 E100.46.39.309
62LOC N013.35.37.409 E100.44.07.069
ABBLA N008.57.43.610 E099.21.59.400
ABTOK N006.18.17.999 E102.17.44.098
ADLUS N019.06.10.490 E099.13.19.891
ADNEP N008.03.43.498 E101.03.18.201
ADORN N018.25.13.468 E099.13.02.740
ADPIP N018.39.46.400 E101.05.54.668
AGEDO N013.24.19.400 E102.21.38.599
AGGER N016.09.40.730 E102.39.27.781
AKATO N013.37.15.531 E099.10.19.189
AKTIK N017.27.31.989 E099.40.59.980
ALBAR N008.32.27.639 E100.10.43.049
ALBOS N014.44.41.701 E101.01.41.901
ALEMI N012.36.25.549 E101.25.59.919
ALUMO N010.45.53.888 E101.51.22.860
ALWEZ N008.41.47.770 E099.43.59.728
AMMIE N008.01.02.859 E099.12.19.980
AMPIO N006.46.25.708 E100.58.48.331
ANBOK N018.36.34.599 E101.12.47.599
ANDAX N009.04.41.109 E098.35.45.189
ANFIL N008.13.44.551 E098.35.42.068
ANGEL N006.37.09.091 E101.32.06.619
ANGET N019.03.53.798 E098.42.22.251
ANNOP N017.13.36.418 E102.56.08.098
ANOBO N011.03.23.000 E102.14.41.611
ANPAN N008.51.15.591 E097.37.20.449
ANUGU N019.12.40.759 E100.28.00.879
AOFFY N018.31.05.278 E099.19.01.109
APRIL N011.00.06.699 E099.43.06.700
ARARE N015.12.59.331 E104.37.34.680
ARMOO N018.48.12.268 E099.05.43.868
ARMUS N013.22.59.789 E100.19.19.761
ARNAN N009.52.36.631 E098.35.01.150
