; Chaing Rai Intl GROUND DETAILS
; RWY 03/21
;Ucom04 SiamAvsim.com Ucom04 Copyright 2007,

N019:57:53.140 E099:53:23.960 N019:57:52.400 E099:53:25.400 yellow
N019:57:52.400 E099:53:25.400 N019:56:23.710 E099:52:33.220 yellow
N019:56:23.710 E099:52:33.220 N019:56:24.460 E099:52:31.770 yellow
N019:56:24.460 E099:52:31.770 N019:57:53.140 E099:53:23.960 yellow
 
N019:56:26.080 E099:52:32.720 N019:56:26.650 E099:52:31.820 yellow
N019:56:26.650 E099:52:31.820 N019:56:28.790 E099:52:33.180 yellow
N019:56:28.790 E099:52:33.180 N019:56:29.160 E099:52:34.490 yellow
N019:56:29.160 E099:52:34.490 N019:56:26.080 E099:52:32.720 yellow

N019:57:51.970 E099:53:21.880 N019:57:51.450 E099:53:22.980 yellow
N019:57:51.450 E099:53:22.980 N019:57:48.080 E099:53:20.970 yellow
N019:57:48.080 E099:53:20.970 N019:57:49.900 E099:53:20.580 yellow
N019:57:49.900 E099:53:20.580 N019:57:51.970 E099:53:21.880 yellow

; Taxiway 
N019:57:11.640 E099:52:59.650 N019:57:15.700 E099:52:51.860 blue
N019:57:06.330 E099:52:56.490 N019:57:10.390 E099:52:48.730 blue
N019:57:15.700 E099:52:51.860 N019:57:17.360 E099:52:49.460 blue
N019:57:10.390 E099:52:48.730 N019:57:10.000 E099:52:47.780 blue
N019:57:10.000 E099:52:47.780 N019:57:10.920 E099:52:46.010 blue
N019:57:10.390 E099:52:48.730 N019:57:15.700 E099:52:51.860 blue
N019:57:11.550 E099:52:49.410 N019:57:12.670 E099:52:47.270 blue
N019:57:13.800 E099:52:50.740 N019:57:14.920 E099:52:48.620 blue

; Parking 
N019:57:18.490 E099:52:48.770 N019:57:16.410 E099:52:52.740 Parking 
N019:57:16.410 E099:52:52.740 N019:57:09.250 E099:52:48.450 Parking 
N019:57:09.250 E099:52:48.450 N019:57:11.320 E099:52:44.540 Parking 
N019:57:11.320 E099:52:44.540 N019:57:18.490 E099:52:48.770 Parking 
 
; Terminal
N019:57:13.520 E099:52:42.460 N019:57:12.300 E099:52:44.860 Tower 
N019:57:12.300 E099:52:44.860 N019:57:17.280 E099:52:47.780 Tower
N019:57:17.280 E099:52:47.780 N019:57:18.460 E099:52:45.500 Tower
N019:57:18.460 E099:52:45.500 N019:57:13.520 E099:52:42.460 Tower
